"EV24","FG","Q","SQ","TN","TX","UG","LAI","VWC5_imputed","rd_imputed"
0.98,540.59,6.79,1.12,5.48,11.98,80.67,1.4,0.1891,3.9
1.67,450.02,12.4,7.07,3.98,11.97,78.77,1.35,0.2038,0.8
1.55,170.15,11.5,3.81,2.08,12.94,82.27,1.3,0.1924,0
2.62,262.19,18.46,10.06,0.76,15.98,66.91,1.25,0.1817,1.2
2.48,233.52,16.69,7.69,5.65,16.47,71.13,1.2,0.1686,0
3.25,456.94,20.18,11.61,7.16,19.6,62.14,1.15,0.1462,0.4
2.62,207.91,16.74,8.42,4.75,18.57,75.91,1.1,0.1357,5.9
1.66,147.36,11.83,3.05,2.65,14.61,86.99,1.05,0.1845,0
2.64,171.65,18.08,9.67,2.05,17.13,71.38,1,0.1768,6.1
1.56,362.81,10.39,3.56,8.12,15.56,84.92,1.075,0.2214,8.8
1.75,467.62,12.35,4.3,3.74,14.1,78.27,1.15,0.2427,0.5
2.15,226.96,16.5,8.82,1.91,11.21,76.59,1.225,0.2198,0.9
2.22,375.98,16.1,7.29,-0.92,13.5,68.83,1.3,0.2079,0
2.29,322.73,16.05,6.5,1.78,14.68,70.27,1.375,0.1963,0
3.23,236.54,23.56,12.84,-1.51,14.45,68.64,1.45,0.183,0
3.61,336.2,23.56,12.51,2.31,18.19,62.44,1.525,0.1608,0
2.37,342.88,16.51,4.86,5.3,13.82,64.58,1.6,0.1316,0
1.93,337.03,14.66,5.98,1.4,10.38,68.86,1.525,0.1114,0
2.13,343.41,17.57,9.53,0.31,9.18,76.66,1.45,0.1021,1.2
1.08,390.62,8.77,1.65,0.02,9.14,85.3,1.375,0.1333,9.5
1.53,535.89,12.55,5.69,0.54,8.07,84.58,1.3,0.215,8.1
1.77,422.97,13.83,4.95,2.13,10.24,82.73,1.225,0.2313,3
2.21,269.03,17.48,8.82,0.36,10.26,79.52,1.15,0.2219,1.8
1.22,450.19,9.09,2.43,3.81,10.11,80.78,1.075,0.2167,0.8
1.86,259.93,13.49,3.09,3.88,12.34,72.91,1,0.2072,0
3,265.08,21.24,9.08,2.19,14.58,72.56,1.05,0.1927,0
3.41,223.51,22.26,11.33,1.24,19.31,68.52,1.1,0.1735,3.1
3.32,323.11,22.71,11.49,2.38,14.91,70,1.15,0.1856,0
3.41,159.25,23.53,12.27,0.35,16.25,62.22,1.2,0.1573,0
4.3,309.05,27.09,13.94,4.64,19.51,53.97,1.25,0.1174,0
4.33,299.1,24.76,13.51,8.34,24.68,57.27,1.3,0.0863,0
4.52,277.59,25.02,13.15,10.18,26.7,49.88,1.35,0.0678,0
4.88,424.9,26.67,14.46,12.57,25.71,44.47,1.4,0.0573,0
4.55,434.57,24.88,12.03,13.68,25.72,50.63,1.25,0.0515,0
1.93,258.21,10.93,0.9,14.82,22.13,67.85,1.1,0.0487,0.2
4.14,310.8,22.76,10.56,14.1,26.15,59.1,0.95,0.0476,0
4.59,427.63,26.08,13.8,13.55,25.35,51.33,0.8,0.0441,0
4.39,431.59,25.81,12.96,8.94,23.95,57.61,0.65,0.0405,0
2.41,415.35,17.05,5.72,5.33,13.3,65.51,0.5,0.0363,0
2.69,362.19,19.25,8.2,4.18,13.32,65.78,0.35,0.0347,0
1.95,224.8,13.55,3,2.87,13.31,71.85,0.2,0.0342,0
2.08,264.6,13.4,3.99,7.17,19,67.94,0.225,0.0345,0
2.23,293.85,13.91,3.33,7.79,20.26,75.16,0.25,0.0342,4.2
2.66,221.98,16.81,4.46,8.86,18.75,79.34,0.275,0.0422,0.4
1.39,357.76,8.51,1.22,9.46,17.88,82.75,0.3,0.0433,3.2
3.52,383.43,20.13,6.13,11.53,23.99,70.05,0.325,0.0459,1.4
1.28,263.68,7.44,0.32,14.47,19.07,84.8,0.35,0.0657,17.9
0.79,391.99,5.12,0.06,10.58,14.38,93.65,0.375,0.1784,9
1.81,310.39,11.93,0.85,9.69,14.87,77.65,0.4,0.1881,0.1
1.79,145.38,11.6,2.64,7.62,16.02,83.18,0.6125,0.1787,0
4.02,176.68,24.59,9.99,6.12,21.47,72.84,0.825,0.1685,0
3.37,272.9,19.13,5.99,12.41,21.15,78.38,1.0375,0.1523,3.4
3.87,183.23,22.11,6.63,12.33,24.23,77.65,1.25,0.1834,0
1.39,288.21,8.03,0.97,13.46,20.16,86.11,1.4625,0.1617,20.7
0.84,343.86,4.85,0.08,15.3,19.55,94.23,1.675,0.2382,52.8
2.5,218.95,14.41,4.29,13.28,21.82,79.76,1.8875,0.2159,0.6
1.75,273.46,9.96,3.11,12.84,24.11,88.13,2.1,0.2032,2.8
2.66,369.91,15.1,2.42,14.29,22.86,86.2,2.0625,0.1975,1.6
2.49,192.8,14.26,3.78,14.18,22.29,89.3,2.025,0.1868,0.7
3.56,210.53,19.66,6.88,13.76,26.2,83.57,1.9875,0.1764,0
5.01,234.92,27.15,12.99,13.71,27.97,71.33,1.95,0.1488,0
4.85,224.67,26.36,13.08,12.83,27,72.77,1.9125,0.11,0
4.1,221.44,21.78,7.29,15.08,27.02,76.4,1.875,0.0852,0
4.29,261.49,24.92,10.05,11.88,23.1,77.56,1.8375,0.0696,0
4.88,238.89,29.06,13.11,9.4,21.7,65.41,1.8,0.0607,0
4.14,146.02,24.28,8.34,8.35,22.53,67.42,1.6875,0.0551,0
3.08,187.52,17.53,3.83,13.35,22.02,72.06,1.575,0.052,0
2.08,146.43,12.13,1.15,14.65,21.92,87.07,1.4625,0.0945,23
1.97,282.88,11.8,1.94,13.84,19.9,91.48,1.35,0.2269,21.1
2.4,296.02,14.36,4.22,12.68,20.94,85.21,1.2375,0.2132,5.5
2.52,183.21,15.37,3.97,10.95,19.18,87.46,1.125,0.2192,13.4
3.29,154.88,19.85,6.87,7.89,21.23,80.8,1.0125,0.2141,8.2
2.09,186.09,12.6,2.11,12.57,19.71,88.04,0.9,0.2338,17.9
2.29,294.71,14.12,3.17,12.62,18.52,85.74,1.3875,0.2311,2.2
3.36,220.36,20.27,6.15,11.81,19.22,73.72,1.875,0.2085,0.3
1.13,433.84,6.78,0.42,12.98,18.72,86.68,2.3625,0.2108,17.1
1.85,244.66,10.58,0.5,15.5,20.94,92.43,2.85,0.2213,2.9
4.17,224.39,22.54,9.98,15.08,25.58,79.14,3.3375,0.2113,0
4.3,209.5,21.83,7.9,18.66,31.27,78.72,3.825,0.2076,20.8
2.78,223.99,15.11,4.08,14.89,23.57,83.58,4.3125,0.2347,0
1.33,184.71,8.1,1.69,10.85,18.62,88.64,4.8,0.2176,9.2
2.87,306.32,18.53,7.77,10.94,19.65,85.42,4.825,0.2166,3.6
1.46,309.62,8.82,2.42,11.3,17.69,89.72,4.85,0.2138,5.4
3.45,217.68,19.85,5.61,11.18,22.8,75.28,4.875,0.2104,8.5
3.06,392.63,17.92,4.41,13.43,21.16,77.4,4.9,0.2203,1.8
1.62,374,9.5,1.12,14.46,19.66,86.83,4.925,0.2041,2.7
1.52,420.76,8.77,0.34,14.68,20.87,87.58,4.95,0.2166,15
3.39,418.61,20.65,7.73,9.5,19.23,76.36,4.975,0.2307,1.5
3.52,286.19,21,8.22,10.14,20.56,74.14,5,0.2123,0
3.61,139.84,20.91,9.27,9.85,22.59,77.22,4.85,0.1977,0
2.14,396.04,12.81,4.58,10.09,20.93,81.98,4.7,0.1902,1.6
4,240.07,24.13,11.12,8.87,20.64,75.08,4.55,0.1854,0
3.64,170.7,21.21,7.14,7.35,22.36,72.92,4.4,0.1682,0
2.37,322.79,13.46,3.15,14.56,21.89,75.6,4.25,0.1478,0
3.48,276.31,19.13,4.57,14.7,24.73,75.86,4.1,0.1247,0
4.59,321.97,24.24,10.1,15.28,29.53,69.77,3.95,0.0977,0
3.2,491.62,17.83,6.99,15.41,23.26,66.85,3.8,0.0748,0
3.79,299.2,22.17,7.57,12.46,23.52,76.45,3.725,0.0654,0
2.21,237.74,13.67,4.5,10.04,18.96,83.64,3.65,0.0606,5.1
3.21,290.7,19.7,7.64,8.03,20.03,74.16,3.575,0.059,0
3.41,236.89,19.89,9.28,9.26,21.79,72.43,3.5,0.0564,0
2.31,279.4,12.84,2.82,14.46,24.32,79.27,3.425,0.0545,0
2.36,246.09,13.26,4.98,13.78,24.71,83.14,3.35,0.0579,1.2
4.55,164.04,24.25,11.48,12.57,28.15,72.17,3.275,0.0544,0
5.18,173.06,26.74,14.81,13.28,30.71,61.22,3.2,0.0502,0
4.73,273.36,23.82,11.18,17.92,34.76,62.4,3.3375,0.0472,0
4.64,215.53,24.48,10.83,16.21,28.15,72.73,3.475,0.0443,14.9
3.09,186.38,16.73,5.47,17.4,26.2,81.95,3.6125,0.1156,0
3.29,217.19,17.61,5.75,17.92,26.63,83.4,3.75,0.1354,0
2.82,134.95,15.33,5.29,16.34,26.59,82.5,3.8875,0.0891,0
2.52,223.25,13.77,3.2,14.39,24.61,80.7,4.025,0.0628,0
3.28,129.16,18.39,5.96,11.58,24.52,73.96,4.1625,0.0532,0
2.86,312.76,16.03,4.67,14.13,22.63,78.38,4.3,0.0486,0.7
2.5,243.57,13.95,3.4,15.9,24.23,83.78,4.6,0.0751,8.1
2.42,321.65,13.73,3.39,15.2,23.23,82.14,4.9,0.1442,0.7
2,224.85,11.26,1.97,13.91,22.9,85.67,5.2,0.1271,1.3
2.64,222.5,15.27,5.45,11.93,20.98,81.36,5.5,0.0981,2.8
2.66,225.29,15.56,4.9,11.4,21.81,79.66,5.8,0.1068,6
0.99,299.21,5.85,0.02,13.44,18.35,96.39,6.1,0.19,10.5
0.75,450.61,4.34,0.45,15.69,19.5,93.92,6.4,0.2216,19.8
2.31,400.2,13.28,3.93,12.67,20.97,81.23,6.7,0.2334,1.3
3.07,277.93,17.93,7.64,11.3,23.09,80.72,6.1875,0.2016,0.2
2.8,266.5,16.13,6.54,9.87,23.3,82.91,5.675,0.1884,0
2.81,365.66,15.8,5.99,9.83,24.01,77.85,5.1625,0.1774,0
2.75,378.21,15.92,6.36,12.39,21.98,74.18,4.65,0.1674,0.5
2.44,236.32,15.33,6.82,9.84,19.21,79.59,4.1375,0.1492,2.6
2.88,216.3,18.46,8.15,7.29,17.57,79.48,3.625,0.1687,0.6
0.97,359.79,6.18,0.44,5.95,15.91,92.66,3.1125,0.184,7.9
2.35,322.36,13.08,3.96,15.02,23.23,86.58,2.6,0.2031,0
2.49,291.21,14.19,4.67,13.53,22.94,83.34,2.6875,0.1885,0
2.63,156.55,15.28,4.18,11.43,22.95,76.41,2.775,0.1768,0
4.05,227.12,23.35,11.97,10.95,22.3,73.33,2.8625,0.1571,0
3.79,290.36,22.2,11.7,10.57,22.62,74.49,2.95,0.1238,0
4.19,293.69,24.05,13.22,10.83,24.76,64.81,3.0375,0.0926,0
4.07,204.74,23.22,12.77,9.23,25.28,67.53,3.125,0.0713,0
2.58,234.81,14.49,5.21,10.57,26.12,77.08,3.2125,0.0731,1.8
2.98,365.22,16.81,7.43,14.78,24.02,72.82,3.3,0.1288,0
1.67,442.08,9.82,3.45,13.94,19.6,84.53,3.2125,0.1183,5.9
1.61,311.71,9.25,3.66,12.07,23.24,86.03,3.125,0.1597,0.3
4.03,147.96,21.84,12.86,11.27,28.25,70.91,3.0375,0.1257,0
4.23,197.55,21.73,12.89,15.67,31.64,66.5,2.95,0.0838,0
4.22,178.43,21.5,12.83,16.67,32.67,68.29,2.8625,0.0644,0
3.7,228.77,19.22,10.73,17.53,29.41,74.21,2.775,0.0562,0
3.42,308.69,17.76,8.07,16.67,29.32,75.02,2.6875,0.051,0
3.07,325.92,16.51,8.97,14.27,26.77,73.29,2.6,0.0479,0
2.46,222.21,14.38,5.45,10.41,22.53,80.63,2.55,0.0445,0
3.47,105.3,20.33,12.45,7.79,24.12,72.61,2.5,0.0409,0
3.45,161.33,19.62,11.73,9.87,26,71.11,2.45,0.0378,0
2.5,199.97,14.53,7.16,11.05,24.14,82.46,2.4,0.0355,0
2.6,256.03,15.04,5.64,9.8,23.12,78.4,2.35,0.0327,1.5
2.5,270.8,14.26,5.96,13.08,23.52,78.2,2.3,0.0566,0.6
1.74,460.28,9.85,3.53,14.32,23.07,82.1,2.25,0.043,2.4
2.59,202.55,14.9,8.32,12.19,23.31,81.67,2.2,0.0893,0
2.87,137.51,16.26,10.19,11.02,26.11,80.92,2.1375,0.0432,0
3.42,171.57,18.96,11.87,11.88,26.95,70.61,2.075,0.0363,0
3.29,253.29,17.96,11.97,12.38,28.3,71.42,2.0125,0.0325,0
2.78,174.04,16.31,9.19,11.1,23.72,80.16,1.95,0.029,0
3.07,165.83,17.55,11.16,9.09,26.27,71.38,1.8875,0.0251,0
1.39,146.98,7.94,1.45,13.85,23.48,84.71,1.825,0.0244,0
3.17,124.81,17,11.36,13.69,29.68,72.07,1.7625,0.0238,0
3.19,200.16,16.45,11.48,15.47,32.56,65.75,1.7,0.0225,0
3.17,203.99,16.38,11.42,16.71,32.43,63.01,1.65,0.0209,0
2.9,305.26,15.24,9.04,15.49,30.29,65.98,1.6,0.0197,13.2
1.84,281.18,10.64,4.97,14.16,22.04,80.61,1.55,0.142,0
1.36,151.65,7.76,1.34,11.65,20.06,86.84,1.5,0.1378,0
1.42,244.48,8.35,3.04,13.1,19.9,83.06,1.45,0.137,0
1.94,166.06,12.08,5.54,9.11,19.88,76.76,1.4,0.1309,0
1.8,101.72,11.24,4.58,6.61,19.96,78.8,1.35,0.1221,0
2.26,156.26,13.83,9.04,8.46,20.94,71.67,1.3,0.113,0
1.89,117.32,11.91,6.64,6.98,21.66,78.61,1.2625,0.0987,0
2.08,189.29,12.88,8.23,7.43,21.6,80.45,1.225,0.0858,0
2.43,229,14.32,10.11,7.4,24.07,70.55,1.1875,0.0709,0
2.29,307.32,13.31,8.99,9.66,26.11,70.6,1.15,0.0609,0.5
1.76,117.97,10.99,5.89,7.38,19.82,82.18,1.1125,0.0559,0
2.3,174.47,14.31,9.78,5.1,21.67,72.89,1.075,0.0523,0
2.01,437.67,11.35,6.59,14.24,23.24,63.44,1.0375,0.0503,0
0.94,515.19,5.52,2.1,13.78,19.28,80.26,1,0.0573,1.9
1.67,296.74,10.24,5.09,11.11,18.85,78.03,1.025,0.0869,0.6
1.26,226.21,7.87,3.03,9.78,17.97,85.25,1.05,0.0874,4
0.89,398.69,5.8,2.26,8.67,15.98,86.99,1.075,0.1332,2.8
1.58,243.07,9.78,6.16,11.48,18.56,80.15,1.1,0.1431,0
1.3,360.67,8.35,4.87,8.75,17.45,78.62,1.125,0.1261,0
2,422.03,13.56,10.06,4.91,14.48,70.39,1.15,0.1101,0
1,346.08,6.94,2.25,3.29,13.02,77.91,1.175,0.0976,0
0.76,279.73,5.12,2.39,9.71,14.69,82.92,1.2,0.0897,0
1.3,233.51,8.87,4.38,4.79,14.73,76.67,1.1625,0.0814,0
1.44,119.86,10.28,7.83,3.06,14.1,81.81,1.125,0.0724,0
1.34,146.14,9.88,6.79,2.03,13.41,79,1.0875,0.0662,0
0.91,148.82,6.75,2.27,0.15,12.55,87.99,1.05,0.0622,1.9
0.5,364.31,3.45,0.2,6.97,10.01,83.63,1.0125,0.0606,0
1.1,462.63,7.54,4.9,6.66,12.2,76.4,0.975,0.058,0
1.13,367.02,7.94,5.85,7.46,13.45,77.58,0.9375,0.0576,7
0.59,263.02,4.02,2.46,8.74,14.8,89.68,0.9,0.1595,0
1.65,251.11,10.46,9.1,6.41,19.6,78.65,0.875,0.1457,0.2
0.88,187.31,5.73,3.43,6.72,16.43,90.01,0.85,0.1387,0
0.62,348.48,4.28,2.64,7.08,13.66,91.61,0.825,0.1491,14.8
0.58,349.1,4.27,2.52,4.02,11.51,89.9,0.8,0.2129,2.7
0.3,220.96,2.01,0.18,6.24,11.24,93.17,0.775,0.2053,4
0.67,191.63,4.99,2.4,5.66,10.57,86.94,0.75,0.2017,2.3
0.63,139.57,4.78,2.18,-0.53,9.88,89.95,0.725,0.1969,0
0.55,138.73,5.1,1.75,-1.48,7.2,95.95,0.7,0.1867,0
0.25,207.54,1.87,0.04,5.06,8.9,93.97,0.7375,0.1824,2
0.24,103.26,1.58,0,8.34,9.81,93.3,0.775,0.1822,0
0.9,138.07,6.3,4.59,6.36,12.72,88.79,0.8125,0.1785,0
0.39,327.16,2.7,0.38,7.79,13.33,92.73,0.85,0.1748,0
0.21,315.49,1.48,0,10.22,13.78,91.92,0.8875,0.1724,0.7
0.99,96.63,6.85,6.78,5.07,15.08,89.54,0.925,0.1712,0
0.92,69.87,6.67,6.76,4.34,15.25,90.18,0.9625,0.1673,0
1.06,102.29,7.49,8.13,3.74,15.83,89.68,1,0.1645,0
0.59,151.37,4.09,3.02,2.96,14.16,94.28,0.9375,0.1628,2.1
0.78,244.89,5.91,5.21,2.66,11.25,90.7,0.875,0.1718,0.9
0.55,228.53,4.43,3.88,1.37,10.15,94.34,0.8125,0.1763,0.3
0.66,324.52,4.88,5.25,5.6,11.02,83.23,0.75,0.1729,1.5
0.48,300.68,3.59,2.36,4.49,10.57,90.28,0.6875,0.174,1
0.42,395,3.24,1.94,3.74,8.34,90.13,0.625,0.1741,1.3
0.17,204.77,1.26,0,2.67,6.17,94.11,0.5625,0.1773,2.3
0.53,184.48,4.34,3.38,-0.64,5.15,89.23,0.5,0.1789,0.5
0.19,227.35,1.34,0.04,-0.18,4.67,93.99,0.5125,0.1912,11.3
0.14,169.48,1.25,0.42,2.64,6.78,96.38,0.525,0.224,9.5
0.39,271.2,3.38,3.34,-2.96,5.37,88.53,0.5375,0.2269,0
0.36,240.72,3.26,2.42,-3.09,5.14,85.69,0.55,0.2076,0.4
0.2,189.23,1.75,0.07,0.67,4.85,89.59,0.5625,0.2019,1.5
0.3,288.98,2.57,0.91,-1.76,5.87,93.42,0.575,0.1998,6.9
0.1,353.97,0.8,0,5.69,11.98,98.02,0.5875,0.2142,12.4
0.29,423.02,1.88,1.16,9.36,13.95,93.1,0.6,0.2342,11.2
0.41,519.43,3.07,1.61,8.02,11.71,87.55,0.775,0.2315,16.6
0.45,488.79,3.29,2.49,3.24,8.93,86.23,0.95,0.2391,1.6
0.43,437.61,3.14,2.49,3.87,7.95,80.12,1.125,0.2062,2.2
0.22,623.91,1.6,0.53,4.96,13.51,75.58,1.3,0.1947,4.1
0.24,422.19,1.55,0.27,9.69,14.43,82.69,1.475,0.2004,3
0.51,400.02,3.26,3.1,6.88,13.13,76.33,1.65,0.1948,0
0.31,210.06,2.31,1.49,4.49,12.31,91.8,1.825,0.1874,0
0.44,498.21,2.92,2.94,4.11,9.43,82.1,2,0.1825,0
0.61,395.03,5.27,7.44,-0.67,8.16,76.26,2.0125,0.1768,0
0.38,128.71,3.79,3.2,-2.94,4.01,92.41,2.025,0.1733,0
0.36,171.84,2.86,2.18,-0.23,9.11,89.19,2.0375,0.1719,0
0.6,277.25,4.88,7.13,-3.7,3.96,82.16,2.05,0.1691,0
0.6,118.09,5.62,7.11,-7.03,3.21,86.76,2.0625,0.1662,0
0.47,295.47,4.51,5.7,-7.77,4.96,82.59,2.075,0.1638,0
0.19,347.65,1.4,0.12,3.22,8.04,90.2,2.0875,0.1663,0.5
0.21,184.11,1.67,0.75,-1.19,9.21,92.67,2.1,0.1718,1
0.4,73.72,3.77,4.81,-4.62,6.01,94.03,1.8625,0.1721,0
0.48,225.13,4.8,6.85,-4.87,3.32,82.86,1.625,0.1684,0
0.42,113.53,4.33,6.88,-5.45,4.66,82.91,1.3875,0.1653,0
0.47,124.12,4.29,6.82,-5.79,6.03,89.78,1.15,0.1626,0
0.23,311.12,1.78,0.95,0.61,9.02,77.82,0.9125,0.1643,0
0.38,413.41,2.77,2.78,5.12,9.45,71.57,0.675,0.1671,0.2
0.24,357.73,1.66,1.65,6.6,11.93,86.81,0.4375,0.1669,0.2
0.15,372.35,1.02,0.36,5.57,9.4,91.95,0.2,0.1698,5.3
0.26,414.56,1.87,0.74,6.3,9.89,88.64,0.325,0.1966,0.7
0.18,198.45,1.43,0.6,2.33,7.95,93.7,0.45,0.1873,0.8
0.11,237.05,0.92,0.02,4.29,7.5,93.99,0.575,0.1852,0.3
0.31,192.22,2.27,2.35,4.82,10.08,94.07,0.7,0.184,0
0.14,289.38,1.02,0.08,4.84,8.15,92.87,0.825,0.1802,0
0.4,223.78,2.89,3.78,2.68,7.46,86.52,0.95,0.1765,0.1
0.2,180.17,1.19,0.36,2.36,7.06,94.21,1.075,0.1806,0.3
0.21,185.81,1.54,0.76,4.64,8.2,94.95,1.2,0.1815,0
0.37,179.7,2.94,4.57,-0.8,7.03,94.6,1.6625,0.1781,0
0.37,195.41,3.44,5.6,-2.93,4.11,91.96,2.125,0.1748,0
0.28,405.35,2.4,1.28,-0.99,8.09,84.83,2.5875,0.1753,14.8
0.1,307.67,0.95,0.01,4.07,6.58,95.07,3.05,0.2304,0
0.27,478.89,2.6,3.1,3.71,8.4,88.69,3.5125,0.2111,1.3
0.3,548.92,2.12,1.25,5.95,8.74,85.49,3.975,0.2061,1.6
0.1,636.15,0.49,0,7.88,11.28,90.38,4.4375,0.2041,3.9
0.35,526.93,2.76,3.63,3.16,11.3,79.95,4.9,0.208,1.1
0.4,287.61,3.39,5.85,1.11,8.85,89.51,4.61666666666667,0.2026,0
0.17,138.03,1.52,0.66,-3.35,4.49,95.88,4.33333333333333,0.1973,0
0.31,78.71,3.2,4.18,-5.37,2.21,95.83,4.05,0.1927,0
0.4,164.84,4.16,6.49,-6.82,3.18,94.21,3.76666666666667,0.1893,0
0.1,305.91,0.99,0.11,-2.27,0.65,98.41,3.48333333333333,0.1886,0
