"EV24","FG","Q","SQ","TN","TX","UG","LAI","rd_imputed"
3.62,138.35,20.91,8.98,9.95,22.58,77.65,1.25,0
2.16,381.19,12.89,4.64,10.11,21.15,81.67,1.3,1.5
4.01,231.25,24.12,10.93,9.09,20.85,74.98,1.35,0
3.65,160.21,21.25,7.18,7.48,22.34,72.84,1.4,0
2.47,313.97,13.95,3.33,14.6,22.05,74.93,1.45,0
3.51,264.5,19.27,4.73,14.76,24.8,75.64,1.5,0
4.63,308.17,24.39,10.3,15.44,29.62,69.38,1.55,0
3.24,470.37,18.07,7.05,15.39,23.32,66.53,1.6,0
3.76,296.61,21.91,7.46,12.46,23.64,76.06,1.55,0
2.22,231.57,13.73,4.4,9.96,19.14,83.89,1.5,5
3.2,276.9,19.61,7.49,8.1,20.09,74.22,1.45,0
3.4,226.73,19.88,9.18,9.35,21.93,72.54,1.4,0
2.33,267.84,12.95,2.87,14.38,24.42,79.14,1.35,0
2.32,240.93,12.99,4.76,13.8,24.8,83.36,1.3,1.5
4.53,161.2,24.11,11.55,12.57,28.34,72.07,1.25,0
5.18,169.14,26.79,14.76,13.37,30.82,61.15,1.2,0
4.75,265.53,23.88,11.13,17.93,34.83,62,1.1,0
4.68,211.03,24.62,10.83,16.38,28.34,72.31,1,18.6
3.09,185.74,16.67,5.5,17.45,26.32,81.69,0.9,0
3.25,211.18,17.43,5.74,17.97,26.67,83.56,0.8,0
2.84,132.57,15.35,5.21,16.51,26.76,82.52,0.7,0
2.6,215.51,14.19,3.32,14.64,24.79,80.32,0.6,0
3.24,122.64,18.18,5.66,12.11,24.53,74.03,0.5,0
2.93,303.9,16.38,4.82,14.11,22.74,77.54,0.4,0.5
2.51,242.52,13.94,3.44,15.95,24.28,83.38,0.5625,8.6
2.45,312.31,13.91,3.57,15.17,23.41,81.98,0.725,0
2.1,223.2,11.84,2.16,13.92,23.16,84.86,0.8875,1.7
2.61,214.73,15.09,5.34,11.82,21.03,81.64,1.05,3.9
2.62,217.79,15.36,4.68,11.29,21.99,79.41,1.2125,5.7
0.98,297.52,5.75,0.03,13.47,18.32,96.55,1.375,9.7
0.73,433.69,4.23,0.33,15.79,19.44,94.26,1.5375,16.2
2.33,384.34,13.37,3.76,12.79,20.97,81.35,1.7,0.4
2.97,270.81,17.41,7.23,11.48,23.05,80.97,1.675,0.5
2.79,260.11,16.1,6.49,9.97,23.26,82.96,1.65,0
