"EV24","FG","Q","SQ","TN","TX","UG","LAI","rd_imputed"
1.49,253.96,9.98,1.73,7.5,15.46,82.63,0.85,4.8
1.82,399.51,12.15,1.84,8.11,15.06,80.05,0.825,0.2
0.98,280.13,6.94,0.65,5.51,12.3,86.54,0.8,0
3.84,345.25,24.2,10.94,5.5,20.24,72.32,0.775,0
1.65,304.54,10.64,1.87,7.79,17.14,79.72,0.75,0
1.41,284.85,9.72,3.3,3.97,15.35,72.65,0.725,0
3.19,200.63,22.67,10.81,0.71,14.73,65.21,0.7,0
3.98,152.09,27.24,14.05,-0.43,17.48,62.68,0.725,0
3.25,260.54,19.63,8.06,5.29,23.56,67.68,0.75,3.4
2.85,285.98,16.68,4.73,11.91,22.66,75.6,0.775,1
2.93,278.65,17.52,5.56,9.51,22.21,79.58,0.8,1
3.05,293.77,18.56,7.34,7.63,21.93,70.21,0.825,0.4
4.41,197.74,26.26,11.8,4.71,22.63,58.82,0.85,0
3.19,219.79,16.93,3.66,15.39,27.69,60.03,0.875,0
4.94,279.4,25.57,11.63,14.68,30.15,51.95,0.9,3.3
1.5,249.78,8.65,1.12,15.52,21.49,83.91,0.9375,2.4
1.18,360.03,7.55,0.33,9.52,16.78,83.32,0.975,3
3.29,260.37,20.79,9.1,7.07,18.16,72.86,1.0125,0
3.62,143.31,22.15,10.45,5.56,21.3,62.78,1.05,0
4.64,186.21,26.16,12.06,8.02,25.45,57.89,1.0875,0
4.28,308.91,24.71,11.85,10.83,23.64,62.12,1.125,0
3.35,257.11,19.05,6.68,9.27,23.94,71.07,1.1625,0
4.79,214.39,27.72,12.86,8.65,24.82,69.31,1.2,0
5.38,303.03,28.99,14.71,11.8,27.75,57.69,1.1625,0
5.57,299.85,28.63,14.25,13.43,32.38,53.09,1.125,2.6
3.99,183.85,21.42,8.33,15.61,27.84,69.71,1.0875,0.8
4.54,254.49,23.73,9.44,16.16,32.85,65.54,1.05,2.3
3.15,365.24,17.38,5.31,12.88,24.72,71.46,1.0125,0
3.56,256.57,20.44,8.57,11.27,24.22,68.57,0.975,0
4.96,152.68,28.41,14.45,8.4,25.73,60.65,0.9375,0
4.51,164.09,24.02,9.43,11.7,29.11,56.91,0.9,0
3.16,222.72,17.35,4.15,15.05,25.53,72.21,1,7.3
3.63,289.56,21.39,10.1,9.03,20.87,67.36,1.1,0
3.8,296.23,22.12,7.74,7.93,23.18,57.52,1.2,2.3
2.65,597.94,15.68,5.69,12.44,18.64,66.52,1.3,6.4
2.47,624.14,15.25,6.34,10.9,18.75,65.17,1.4,0.8
3.42,386.27,19.4,5.39,12.05,24.52,64.71,1.5,4.9
2.73,324.13,16.07,6.87,10.96,20.92,74.34,1.6,6.9
4.56,252.35,25.98,12.36,9.68,24.61,66.1,1.7,0
3.55,295.55,19.06,4.76,14.3,28.81,60.24,1.6625,0
2.02,435.7,11.95,3.13,13.11,18.61,66.31,1.625,0
2.66,231.65,15.9,6.53,9.39,20.95,70.5,1.5875,0
5.19,183.98,29.5,14.82,7.76,25.32,60.81,1.55,0
4.45,332.61,23.8,10.59,12.36,29.34,57.91,1.5125,0
2.37,360.75,14.01,4.47,9.54,20.3,68.75,1.475,0
1.99,222.69,11,0.58,11.18,23.25,73.87,1.4375,0
4.67,124.62,25.17,12.92,11.28,28.24,69.84,1.4,0
5.67,152.27,29.18,15.07,14.35,31.81,57.57,1.5125,0
5.1,300.92,26.41,11.8,15.93,30.6,63.75,1.625,0
5.17,238.56,27.2,13.35,14.24,30.15,59.08,1.7375,0
4.69,407.07,23.73,9.23,17.82,34.79,58.37,1.85,0.4
3.9,420.96,21.32,7.17,16.04,26.31,64.3,1.9625,0
1.28,438.95,7.42,1.19,14.42,19.39,81.56,2.075,1.3
1.82,398.77,10.15,1.79,16.17,21.02,76.63,2.1875,0.4
4.82,275.82,27.39,11.84,13.08,23.42,61.28,2.3,0
1.62,306.21,9.5,1,11.55,20.95,73.78,2.2125,2.5
1.59,244.13,9.13,1.75,13.86,22.14,89.77,2.125,12.4
2.33,218.07,13.49,1.45,12.66,22.63,80.24,2.0375,0
2.66,306.75,15.32,2.38,12.22,22.68,77.61,1.95,12.4
1.13,281.37,6.7,1.53,13.04,20.02,91.72,1.8625,1.1
2.62,290.63,15.51,5.66,9.1,20.83,81.32,1.775,1.1
3.61,307.74,21.02,8.69,7.48,23.62,68.63,1.6875,0
3.04,170.46,16.76,4.25,13.97,23.64,78.08,1.6,0
4.26,151.09,23.38,10.41,12.39,27.21,70.73,1.6125,0
3.78,172.98,20.47,7.78,11.69,27.98,74.56,1.625,9.4
4.42,278.95,23.54,10.38,15.72,28.04,78,1.6375,0
3.37,196.3,19.15,4.88,14.08,27.09,73.09,1.65,0
4.81,156.81,26.91,12.66,12.03,24.99,65.51,1.6625,0
3.42,185.48,18.96,4.2,15.01,27.32,72.96,1.675,0
2.51,315.34,14.22,1.93,14.55,22.72,75.1,1.6875,18.9
1.51,301.3,9.03,3.62,9.35,18.41,87.19,1.7,28.8
3.54,96.16,21.37,7.88,7.17,21.24,71.95,1.75,0
2.33,240.69,14.44,5.37,9.14,20.36,78.81,1.8,3.7
2.97,202.96,17.24,4.77,9.82,21.57,72.22,1.85,0.1
1.68,241.17,9.4,0.74,15.9,22.64,84.36,1.9,5
4.71,189.81,26.48,10.55,13.72,24.01,71.9,1.95,0
4.98,310.17,27.68,12.15,12.05,27.01,64.44,2,0
3.46,283.55,18.05,7.56,17.98,30.67,69.07,2.05,7.1
2.93,318.64,16.2,4.42,12.97,26.06,78.68,2.1,0
4.81,207.12,27.1,13.28,10.29,24.34,61.72,1.9875,0
3.59,230.5,19.64,5.33,14.9,26.47,71.49,1.875,10.2
2.68,326.13,15.9,5.76,13.52,20.76,85.26,1.7625,16.5
2.67,180.61,15.81,4.89,13.28,20.32,85.54,1.65,3.9
1.93,330.84,11.4,2.25,13.61,19.98,88.52,1.5375,6.7
3.71,271.16,20.77,8.33,14.34,23.62,77.11,1.425,0
2.86,332.84,16.18,4.59,13.66,21.56,74.71,1.3125,0
2.25,398.03,13.15,4.02,13.06,21.41,77.76,1.2,1.4
2.16,359.42,11.74,1.78,16.01,24.51,72.75,1.2,0
3.3,380.34,17.94,8.19,13.88,25.63,74,1.2,1.6
3.79,188.2,21.37,8.98,12.2,24.45,71.86,1.2,0
2.13,109.67,11.95,2.73,13.3,23.42,78.32,1.2,0
2.31,211.96,13.18,1.92,14.1,23.62,79.16,1.2,2.8
2.85,465.92,15.51,6.74,16.17,23.89,72.32,1.2,0
2.47,427.13,14.17,3.86,11.93,22.59,71.96,1.2,1
1.81,223.19,10.92,2.83,10.09,20.15,86.53,1.2,2.0617
3.56,181.03,21.32,10.86,8.47,22.38,75.73,1.3375,0
4.12,153.09,23.88,12.69,8.32,24.21,69.34,1.475,0
0.9,216.63,5.25,0,12.97,19.38,88.28,1.6125,3.5
3.14,284.97,17.98,6.71,12.21,22.2,77.05,1.75,0.1
0.9,122.05,5.41,0.73,12.22,18.37,90.12,1.8875,8.1
2.23,174.1,13.13,2.75,13.88,20.56,78.71,2.025,2.4
1.43,329,8.37,1.92,13.01,21.27,89.09,2.1625,0.4
2.72,171.78,15.76,5.34,10.62,22.33,81.98,2.3,0
3.83,183.7,21.52,10.48,10.84,25.67,75.01,2.1875,0
1.59,172.39,8.91,2.58,13.63,25.08,87.49,2.075,3.2
2.86,115.16,16.33,4.82,12.33,23.92,83.34,1.9625,0
1.04,290.99,6.05,0.7,12.25,21.1,88.45,1.85,0.6
1.73,289.32,8.79,1.86,10.76,21.19,87.93,1.7375,4.3
2.28,388.77,13.87,6.06,11.73,19.68,80.81,1.625,2.8
2.51,294.76,15.12,6.38,11.26,20.29,78.71,1.5125,0
3.28,121.8,18.79,9.33,9.21,22.49,76.89,1.4,0
3.43,172.78,19.5,9.62,12.04,24.33,70.76,1.4125,0
3.57,248.97,19.58,9.84,12.47,26.97,68.54,1.425,0
2.45,272.32,14,5.23,11.87,23.75,77.82,1.4375,0
3,129.73,16.95,7.46,9.99,24.12,73.94,1.45,0
2.97,134.79,16.43,6.17,12.47,26.03,72.68,1.4625,0
3.56,118.92,20.08,11.12,12.33,25.17,72.23,1.475,0
3.43,98.83,18.95,10.25,11.04,27.95,73.46,1.4875,0
3.69,144.62,19.28,11.06,13.02,30.94,72.2,1.5,4.5
1.59,234.05,8.98,0.79,14.35,24.23,88.75,1.4625,18.5
2,217.85,12.21,4.98,10.72,19.84,83.65,1.425,0
2.3,119.39,13.91,6.25,9.23,20.56,81.29,1.3875,1.6
2.58,143.17,15.99,8.04,8.2,20.22,78.58,1.35,0
2.63,108.17,16.28,8.64,6.54,20.78,78.34,1.3125,0
2.21,201.1,13.27,4.49,9.07,22.19,78.1,1.275,0
1.71,225.12,9.39,1.99,15.9,23.69,83.23,1.2375,4.5
1.72,383.25,10.2,3.51,12.96,19.72,78.62,1.2,0.8
1.62,331.21,9.56,2.61,10.99,19.1,78.88,1.125,0.7
0.49,503.2,2.91,0,13.85,16.11,89.89,1.05,6.9
1.66,271.9,10.48,3.95,9.05,17.89,89.53,0.975,1.3
2.23,457.82,13.96,8.14,7.78,18.34,80.41,0.9,1
1.79,622.71,10.9,5.65,12.55,18.68,78.38,0.825,2
2.27,458.19,14.05,8.86,11.5,18.08,79.44,0.75,7.3
1.99,691.68,12.34,6.01,11.16,19,78.1,0.675,8.3
1.17,472.17,7.9,2.31,9.07,14.46,90.81,0.6,13.8
1.67,283.56,11.1,5.13,6.65,16.19,89.17,0.6,2.8
1.64,199.86,10.94,5.24,6.65,15.46,88,0.6,0
2.1,122.19,13.99,7.68,5.21,17.07,84.68,0.6,1.5
1.18,238.45,7.81,2.42,8.03,15.71,92.02,0.6,12.4
1.34,152.06,8.72,3.46,8.2,16.29,91.18,0.6,0
1.79,220.95,11.45,5.48,8.17,17.65,84.64,0.6,0
2.12,180.38,13.59,10.04,8.04,18.99,79.84,0.6,0
1.62,122.49,10.3,4.36,6.21,20.02,85.92,0.6,0
2.03,87.27,13.34,7.45,5.46,18.25,85.43,0.6,0
2.13,152.12,13.49,8.79,5.31,19.98,85.7,0.6,0
1.54,192.9,9.63,3.69,8.51,18.97,88.53,0.6,0
1.43,182.87,8.97,4.13,9.08,18.47,92.01,0.6,0
2.02,172.32,12.2,7.4,7.57,21.39,82.02,0.6,1.4
1.25,183.14,7.16,1.94,12.72,21.02,89.23,0.6,0.7
1.89,202.04,10.73,5.6,12.9,23.39,87.51,0.6,9.5
0.5,162.48,3.06,0.9,8.38,16.3,95.6,0.6,3.5
1.53,382.74,9.44,4.51,8.97,18.66,77.56,0.6,0.4
1.38,510.53,8.3,3.9,12.61,19.06,78.3,0.6,1.4
1.55,346.64,9.8,6.77,10.28,16.15,81.08,0.6,0
0.98,449.33,6.27,1.03,9.7,14.62,76.67,0.6,7.9
1.18,530.89,7.53,4.99,7.19,15.64,83.35,0.6,2.9
1.47,325.8,9.65,6,6.78,14.82,86.13,0.6,2.1
0.34,457.2,2.22,0,9.29,12.52,89.8,0.6,8.5
0.9,192.36,5.9,3.01,7.34,14.97,90.75,0.6,0.6
0.62,201.69,3.88,0.12,6.9,14.72,92.33,0.6375,0.3
0.84,379.1,5.05,1.79,12.19,16.24,88.55,0.675,0.4
0.6,490.35,3.68,0.03,12.96,15.91,78.59,0.7125,0.3
1.26,363.39,7.9,4.83,8.75,16.25,80.49,0.75,0
1.35,277.81,7.93,4.6,8.7,19.87,86.7,0.7875,0
1.78,223.49,10.6,9.22,10.71,21.52,87.92,0.825,0
1.76,234.24,10.44,9.3,9.1,23.15,80.74,0.8625,0
1.65,268.03,9.25,8.05,13.79,24.77,76.26,0.9,0
0.82,177.23,5.07,0.57,10.26,17.13,87.81,0.8875,0
1.41,138.3,8.74,6.91,10,20.08,89.03,0.875,0
1.43,232.1,8.63,8.6,9.99,21.08,79.92,0.8625,0.7
0.71,510.86,4.47,2.37,10.03,17.09,78.35,0.85,2.3
0.86,410.14,5.39,4.34,9.56,17.96,78.24,0.8375,5
0.61,500.72,4.15,1.56,9.1,12.62,87.21,0.825,3.7
0.88,357.06,5.74,4.27,8.5,15.67,84.46,0.8125,0.6
0.31,381.74,1.91,0,12.55,16.59,94.78,0.8,0
0.41,349.33,2.53,0.93,10.31,16.5,90.82,0.8,0
0.67,232.44,4.25,1.75,11.05,16.89,92.3,0.8,0
1.06,280.11,7.05,7.18,8.08,14.47,80.21,0.8,0
0.41,506.91,2.65,0.04,7.75,14.44,87.44,0.8,8.1
0.91,472.81,6.27,6.03,5.22,14.35,76.8,0.8,0.4
0.95,188.86,7.15,7.43,3.62,11.75,81.7,0.8,0
0.41,330.26,2.63,0.02,6.48,10.8,84.92,0.8,0.1
0.78,310.82,5.24,4.01,8.74,13.97,80.88,0.8,0
0.53,245.2,3.63,1.83,5.38,12.78,88.46,0.7125,0.3
0.55,160.76,3.9,2.37,5.2,12.85,94.05,0.625,0
0.79,297.08,5.32,4.49,4.92,15.13,89.49,0.5375,7.2
0.66,223.28,4.79,4.33,1.74,11.49,90.45,0.45,1
0.9,111.88,6.49,7.16,-0.76,10.64,89.1,0.3625,0
0.59,108.62,5.45,5.62,-2.28,7.95,93.19,0.275,0
0.16,145.82,1.25,0,4.06,7.39,95.59,0.1875,0
0.49,308.07,3.37,1.65,5.64,9.72,90.74,0.1,0.3
0.35,434.81,2.7,2.33,3.74,11.73,86.44,0.2625,1.6
0.24,275.6,1.93,0.48,2.99,8.45,92.28,0.425,1.7
0.39,225.6,2.87,2.2,2.62,6.55,93.25,0.5875,2.3
0.72,226.41,5.76,7.27,0.05,9.94,86.84,0.75,0
0.4,351.36,3.12,1,-0.25,9.1,89.54,0.9125,0.3
0.18,232.71,1.34,0,7.48,9.41,96.98,1.075,0.9
0.18,246.7,1.25,0.14,7.56,9.88,96.07,1.2375,0.7
0.6,133.73,4.89,5.66,0.53,10.22,86.96,1.4,0
0.38,366.98,2.84,1.02,1.89,8.08,86.46,1.35,2.5
0.58,319.45,4.47,5.49,2.02,9.53,86.14,1.3,2.4
0.1,405.95,0.81,0,3.69,11.14,93.89,1.25,12.8
0.1,465.36,0.69,0,9.73,11.86,92.37,1.2,3.8
0.61,535.92,4.19,4.45,9.36,13.21,74.01,1.15,0
0.34,577.95,2.14,1.93,6.81,15.28,72.15,1.1,10.6
0.3,172.74,2.21,1.63,3.94,9.41,93.39,1.05,2.5
0.41,238.88,3.25,1.94,0.19,6.78,90.91,1,0.7
0.34,412.48,2.85,2.53,1.92,6.84,87.28,0.8875,2.1
0.09,540.19,0.65,0,3.09,8.18,91.85,0.775,12.2
0.48,343.63,3.16,3.33,-0.25,7.47,91.44,0.6625,0.4
0.22,162.9,1.45,0,-1.33,3.2,95.94,0.55,0.2
0.24,201.24,2.06,0.85,0.58,4.92,93.89,0.4375,0
0.19,163.72,1.65,1.06,-3.26,3.95,94.52,0.325,0
0.1,186.91,1.05,0,-2.32,-0.38,98.1,0.2125,0.9
0.1,326.75,0.73,0,-0.81,4.1,96.82,0.1,2.1
0.28,261.61,2.21,2.03,2.18,9.15,93.85,0.9625,0.1
0.1,345.35,0.74,0,2.89,7.12,87.72,1.825,0
0.18,424.62,1.31,0,6.21,8.49,80.07,2.6875,0
0.1,628.19,0.91,0.44,3.34,6.94,84.1,3.55,8.2
0.14,424.72,1.45,1.34,0.11,5.39,88.15,4.4125,17.7
0.21,470.87,1.76,1.26,-0.2,2.84,88.19,5.275,3.6
0.09,543.69,0.57,0.07,-0.12,5.76,90.45,6.1375,11.5
0.08,385.19,0.61,0.05,-2.22,1.61,93.37,7,10.8
0.27,376.61,2.38,2.43,0.33,2.17,92.54,6.1625,0.8
0.1,585.32,0.56,0.01,0.51,6.86,89.84,5.325,13.8
0.18,480.69,1.73,1.14,0.68,5.19,89.09,4.4875,0.4
0.15,221.68,1.3,0.44,1.21,4.96,89.61,3.65,0
0.36,234.15,3.09,4.21,-0.37,5.9,92.47,2.8125,3.6
0.43,313.88,3.42,4.31,-1.6,4.6,94.58,1.975,8.4
0.16,264.41,1.27,0.17,1.28,7.33,93.57,1.1375,0.1
0.21,209.5,1.58,0.27,2.43,7.06,94.67,0.3,0.9
0.1,176.41,0.95,0.06,5.17,8.21,97.46,0.425,0.9
0.11,196.98,0.89,0,7.01,9.6,98.25,0.55,3.2
0.11,152.93,0.72,0.05,8.25,9.61,97.99,0.675,0.6
0.1,480.65,0.55,0,8.09,9.58,91.23,0.8,0
0.1,564.88,0.73,0.11,8.16,9.98,87.36,0.925,0
0.1,548.81,0.77,0,3.98,8.69,83.47,1.05,1.2
0.31,559.14,2.1,1.92,3.83,7.55,81.21,1.175,2
0.21,380.94,1.61,0.95,2.24,6.91,85.01,1.3,2.5
0.37,399.06,3.24,4.13,0.75,5.09,83,1.26,0
0.18,480.86,1.44,1.39,-0.89,5.9,88.37,1.22,10.9
0.14,563.63,1.01,0.13,3.35,12.6,84.85,1.18,8.8
0.21,605.97,1.14,0.17,8.35,14.23,86.21,1.14,7.4
0.3,500.3,2.24,1.86,4.78,8.85,84.97,1.1,11
0.21,443.89,1.65,0.33,4.38,8.55,88.92,1.15,15
0.11,847.7,1,0.35,6.08,11.4,77.13,1.2,3.3
0.12,553.96,0.87,0.05,6.24,11.36,83.62,1.25,2.5
0.25,420.42,1.99,0.89,4,9.17,85.76,1.3,2.9
0.2,253.9,1.54,0.24,0.46,6.07,92.16,1.35,0.2
0.36,567.75,3.22,4.32,0.38,3.59,81.12,1.4,0
0.28,483.75,2.62,2.82,0.89,4.52,80.44,1.45,0
0.21,242.17,1.9,0.53,0.8,6.49,90.05,1.5,0.5
0.2,242.99,1.62,0,5.79,8.58,89.27,1.5,2.4
0.19,121.35,1.36,0.41,2.61,7.75,96.98,1.5,0.1
0.1,108.12,0.85,0,4.16,5.31,96.05,1.5,0
0.2,240.2,1.59,0.55,2.27,6.4,86.91,1.5,0
0.48,323.47,4.12,6.31,1.03,5.41,79.8,1.5,0
0.11,585.46,1.02,0,0.83,7.63,86.45,1.5,9.9
0.29,491.39,2.52,1.94,1.99,6.92,82.73,1.5,6.3
0.29,503.84,2.25,1.84,1.1,5.3,81.45,1.5,6.9
0.22,657.19,1.71,0.48,0.64,10.69,83.75,1.3375,8.5
0.41,343.85,3.66,3.84,1.01,5.69,88.21,1.175,3.6
0.13,242.03,1.26,0.08,0.61,3.57,94.49,1.0125,2.3
0.48,253,4.45,4.92,0.33,6.11,89.04,0.85,2.8
0.41,317.17,2.91,0.91,1.8,8.55,90.1,0.6875,0
0.39,455.88,2.82,1.14,5.38,11.12,85.25,0.525,0.2
0.3,668.21,1.75,0.45,7.98,14.02,81.47,0.3625,0.9
0.25,308.6,1.96,0.03,5.7,9.27,89.83,0.2,0.9
0.38,136.18,2.8,1.14,1.45,7.38,94.97,0.275,0
0.49,395,3.66,3.83,2.9,7.43,85.1,0.35,1.5
0.37,554.46,2.58,0.97,5.57,11.15,90.65,0.425,0
0.16,577.4,1.17,0,2.82,10.7,84.92,0.5,4.2
0.6,233.98,4.6,5.33,0.18,7.31,91.72,0.575,3.6
0.1,531.65,0.81,0.04,1.8,9.64,91.16,0.65,16.3
0.3,424.68,2.43,2.25,0.64,5.2,87.81,0.725,5.3
0.37,306.92,3.03,1.7,0.93,6.3,89.46,0.8,0.5
0.46,226.56,3.71,1.34,-0.76,5.43,91.74,0.8125,0
0.31,363.52,3,1.72,-0.63,2.41,81.38,0.825,0.4
0.77,377.27,7.27,7.34,-2.75,3.71,81.23,0.8375,0
0.46,310.8,4.66,3.44,-4.42,0.72,79.73,0.85,0
0.77,203.56,8.05,8.21,-6.56,1.71,75.13,0.8625,0
0.75,173.2,7.88,7.09,-8.16,3.42,80.16,0.875,0
0.58,369.11,5.44,4.64,-2.97,2.71,79.33,0.8875,0.4
0.4,324.59,3.48,2.54,0.79,6.35,86.64,0.9,4.3
0.56,540.92,4.24,2.92,0.66,7.36,84.71,0.8875,1.4
0.82,357.96,7.18,6.76,-1.36,5.81,79.63,0.875,0
1.01,365.71,8.95,8.75,-1.77,6.32,71.11,0.8625,0
1.05,394.56,9.27,8.89,-2.66,5.8,62.29,0.85,4.8
0.23,368.64,1.89,0.56,-0.63,8.74,91.94,0.8375,0.5
1.05,222.66,9.12,8.72,-2.86,8.46,83.89,0.825,0
0.7,167.66,6.26,4.63,-4.9,6.55,82.64,0.8125,0
1.03,186,9.39,8.54,-4.7,7.47,82.26,0.8,0
0.5,161.54,4.33,1.56,-2.55,3.99,82,0.775,0
0.69,200.52,6.41,4.24,-4.07,5.21,79.94,0.75,0
1.07,274.27,10.08,9.24,-4.23,4.72,75.49,0.725,0
1.17,400.93,10.77,9.37,-3.42,5.06,70,0.7,0
1.15,450.38,11.03,8.96,-3.53,3.41,68.09,0.675,0
1.1,556.39,10.62,9.16,-4.27,3.79,54.51,0.65,0
1.15,501.03,11.77,9.64,-5.2,1.15,53.14,0.625,0
0.74,441.59,8.1,5.77,-5.78,0.08,68.47,0.6,0
0.95,345.15,11.36,9.07,-8.45,0.03,67.97,0.5375,0
0.91,557.56,10.85,8.9,-9.43,-2.91,61,0.475,0
0.79,773.59,8.87,6.23,-7.63,0.35,46.1,0.4125,0
0.59,631.08,6.33,2.79,-6.89,-0.09,55.32,0.35,1.8
0.7,376.67,6.79,3.28,-3.8,1.65,76.95,0.2875,0
1.13,340.17,8.79,3.38,-0.79,11.32,78.71,0.225,1.6
1.42,315.87,10.47,7.96,2.02,12.33,77.41,0.1625,0
0.98,195.59,7.53,2.59,-0.75,11.66,80.53,0.1,0
0.72,244.43,5.73,1.43,-0.83,10.04,88.01,0.1625,2.3
0.57,492.2,4.45,2.95,1.46,8.31,84.25,0.225,4.6
1.16,282.45,8.9,4.37,1.33,10.78,83.17,0.2875,5.8
0.95,324.37,6.4,0.54,7.26,15.79,85.68,0.35,1
0.85,287.48,5.61,2.16,6.3,15.57,85.27,0.4125,0
1.12,318.47,7.72,3.67,6.72,14.95,82.66,0.475,7.2
0.27,368.8,2.08,0.05,4.06,9.02,92.67,0.5375,2.7
1.72,260.71,13.1,8.06,-0.08,11.43,79.47,0.6,0
1,449.7,7.38,3.51,3.53,11.31,72.66,0.6,4
0.31,405.98,2.28,0,0.13,7,90.21,0.6,2
0.43,755.18,4.36,0,-2.9,0.1,68.3,0.6,0
0.6,660.39,6.57,2.02,-3.16,0.66,51.18,0.6,0
1.71,440.77,16.61,10.41,-4.57,4.4,45.66,0.6,0
1.98,396.49,16.79,9.82,-4.31,9.18,60.94,0.6,0
1.03,222.27,8.84,3.31,-2.97,7.52,77.26,0.6,1.7
0.53,341.33,4.03,0.82,2.93,9.74,87.59,0.6,1
0.63,351.17,4.76,0.18,4.58,7.35,80.63,0.6125,0
1.8,201.04,13.53,6.67,0.98,12.51,70.1,0.625,0
1.82,177.95,13.92,7.36,-2.17,13.73,71.92,0.6375,0
1.52,168.25,12.05,4.74,-0.14,11.63,81.39,0.65,0.1
0.9,270.81,6.94,1.97,-0.42,10.72,84.61,0.6625,3.9
0.44,299.74,3.4,0.03,3.22,8.96,91.96,0.675,11.6
1.6,301.25,12.11,5.61,3.14,10.61,75.59,0.6875,1.8
2.07,338.38,14.6,6.54,4.81,14.21,71.09,0.7,2.9
1.7,156.47,12.4,5.44,1.47,12.78,81.08,0.65,4.7
0.54,204.16,3.91,0.11,-0.16,8.15,90.93,0.6,11
1.21,318.95,8.74,1.04,-0.44,13.33,76.65,0.55,14.8
2,490.8,12.65,4.5,9.14,17.57,73.37,0.5,3.3
1.09,344.39,7.37,1.85,7.03,14.72,81.16,0.45,2.6
1.25,437.51,9.52,4.31,0.05,9.79,77.98,0.4,2.9
2.85,394.95,20.03,11.59,-0.08,15.76,56.59,0.35,0.2
2.96,298.97,18.13,10.96,7.54,22.54,56.87,0.3,0
2.55,148.26,15.55,6.97,7.13,24.1,64.75,0.3875,0
1.57,282.54,9.83,0.95,9.84,18.36,74.06,0.475,0.6
1.82,232.86,11.1,2.56,10.42,19.46,72.55,0.5625,2.4
0.8,170.08,5.7,1.85,7.37,14.79,93.19,0.65,0.1
1.4,260.14,9.24,2.78,6.94,16.29,86.84,0.7375,0
1.45,180.64,9.7,0.59,3.29,15.7,86.08,0.825,0
2.43,144.62,15.59,5.76,6.26,17.63,76.8,0.9125,0
1.98,209.83,12.44,4.29,9.96,18.56,79.3,1,9.9
2.58,217.56,16.55,8,5.28,17.34,76.58,0.9125,6.3
3.4,207.89,21.42,12.05,3.55,21.72,68.97,0.825,6.9
3.8,165.04,22.08,12.74,6.01,24.83,60.14,0.7375,8.5
4.15,265.17,22.67,12.96,10.05,28.33,50.8,0.65,3.6
3.85,208.35,21.39,12.4,10.61,28.14,58.71,0.5625,2.3
3.69,195.7,22.39,11.81,8.33,22.98,67.66,0.475,2.8
3.33,236.63,19.58,9.81,10.24,27.01,68.23,0.3875,0
3.06,372.81,19.15,8.94,8.39,17.83,68.78,0.3,0.2
1.35,405.54,8.67,1,8.54,15.7,74.58,0.375,0.9
1.88,485.82,12.09,3.71,8.44,15.28,69.51,0.45,0.7
2.55,430.07,17.45,8.14,5.24,14.92,72.01,0.525,0
2.51,206.1,16.57,6.11,2.7,17.42,62.98,0.6,1.4
1.72,302.22,11,1.21,6.69,16.68,69.56,0.675,0
1.35,280.79,9.17,1.85,3.89,16.96,89.88,0.75,4.2
1.29,480.16,8.65,1.49,5.59,15.07,84.61,0.825,3.5
2.62,492.55,18.42,7.25,5.15,13.75,67.35,0.9,16
3.73,381.18,24.34,12.47,4.25,17.71,62.18,0.8875,5.3
3.63,228.41,24.41,12.5,4.42,16.5,64.13,0.875,0.6
3.97,239.65,25.82,13.83,2.73,19.03,63.16,0.8625,0
4.35,326.56,26.38,14.01,6.15,22.49,53.51,0.85,0.4
4.7,271.69,26.89,14,7.44,26.08,50.24,0.8375,0
4.76,223.98,26.72,14.05,9.71,25.98,53.46,0.825,0
4.79,194.34,26.4,13.82,10.55,27.57,51.59,0.8125,0
4.43,222.38,23.15,13.02,10.27,27.78,59.84,0.8,0
2.08,312.27,13.27,4.57,6.17,17.83,76.4,0.8,0.3
3.51,175.32,22.21,9.92,3.32,19.89,68.74,0.8,4.2
4.01,206.21,22.84,9.05,8.13,24.14,58.09,0.8,1.3
0.97,290.79,6.14,0.11,11.67,16.07,86.61,0.8,0
3.82,284.4,21.51,8.94,11.61,26.54,70.62,0.8,0
4.63,265.94,26.01,13.29,11.39,24.93,53.36,0.8,4.9
2.99,364.35,17.74,7.03,9.87,22.42,69.42,0.8,0.5
4.21,375.77,27.33,11.93,6.41,17.63,65.69,0.8,0
3.17,256.67,21.25,6.87,4.4,17.17,68.93,0.8,0
1.96,136.59,13.08,3.45,4.25,16.07,80.41,0.8,0
4.55,231.06,26.49,12.75,6.23,24.86,63.86,0.8,0
4.37,317.99,24.25,10.27,10.35,25.72,52.87,0.8,0
3.07,195.89,17.68,6.31,10.79,25.05,76.55,0.8,0
3,265.72,16.75,5.03,14.63,24.68,69.64,0.8,0
2.68,320.92,15.1,3.47,14.17,23.45,70.72,0.8,0
4.18,162.44,22.65,9.95,13.85,26.33,72.75,0.8,0
4.82,254.26,25.53,12.26,13.93,28.84,61.33,0.85,0
2.57,244.78,13.86,4.42,15.66,27.07,71.58,0.9,0
4.97,209.09,25.9,12.03,14.2,29.4,65.64,0.95,0
3.47,228.04,18.31,7.01,16.35,30.34,76.29,1,0
4.28,143.81,22.9,10.82,15.74,27.61,74.67,1.05,0
2.86,154.82,15.74,5.86,15.61,26.2,81.92,1.1,1.9
1.24,232.51,6.17,0.64,14.91,20.97,93.48,1.15,0
2.05,240,11.82,2.81,14.2,21.04,85.06,1.2,1.6
3.57,136.29,19.99,6.96,13.32,25.12,78.32,1.2125,0
