"EV24","FG","Q","SQ","TN","TX","UG","LAI","VWC5_imputed","rd_imputed"
0.97,237.05,6.59,1.34,6.19,13.32,85.65,0.7875,0.2543,0.3
0.94,557.9,6.52,1.16,5.46,11.75,81.21,0.8,0.2576,3
1.67,469.62,12.39,7.13,4.11,11.63,79,0.9,0.2648,1.2
1.59,179.17,11.75,4.08,2.09,12.64,83.07,1,0.2586,0
2.57,271.94,18.17,10.01,1.01,15.87,67.6,1.1,0.2533,1.2
2.51,240.83,16.89,7.91,5.33,16.2,71.78,1.2,0.2505,0
3.26,477.77,20.28,11.8,7.2,19.26,62.57,1.3,0.2483,0.6
2.63,219.09,16.84,8.41,4.48,18.33,75.55,1.4,0.2466,4
1.76,157.35,12.51,3.7,2.49,14.84,86.35,1.5,0.2492,0.2
2.56,175.19,17.57,9.3,1.87,17.02,71.62,1.6,0.2588,7.3
1.47,355.41,9.77,3.09,8.08,15.16,86.5,1.5125,0.2823,9.4
1.77,481.1,12.54,4.38,3.8,13.49,78.76,1.425,0.2808,0.4
2.07,238.29,16.01,8.55,1.48,11.03,76.41,1.3375,0.2581,1.2
2.2,400.99,15.93,7.11,-0.79,13.41,69.44,1.25,0.2481,0
2.36,335.6,16.57,7.08,1.77,14.55,70.71,1.1625,0.239,0
3.2,236.46,23.41,12.71,-1.48,14.32,69.06,1.075,0.2333,0
3.57,342.13,23.61,12.64,2.28,17.86,63.3,0.9875,0.2301,0
2.38,346,16.63,5.1,5.16,13.63,65.79,0.9,0.2281,0
1.99,350.19,15.21,6.34,1.52,10.32,69.72,0.9625,0.2271,0
2.15,365.72,17.75,9.62,0.21,9.22,77.64,1.025,0.227,1.3
1.09,408.35,8.83,1.74,-0.02,8.9,85.52,1.0875,0.2291,8.8
1.45,553.63,11.9,5.38,0.55,7.81,84.43,1.15,0.262,8.3
1.82,430.99,14.18,5.06,1.89,10.16,82.71,1.2125,0.2775,3.2
2.18,275,17.24,8.7,0.3,10.11,79.33,1.275,0.2655,2.2
1.24,473.34,9.23,2.15,3.87,10.08,80.28,1.3375,0.258,1.5
1.96,273.82,14.21,3.6,3.75,12.36,72.4,1.4,0.2471,0
2.97,259.15,21.15,9.11,2.01,14.72,72.63,1.375,0.2374,0
3.36,247.2,22,11.15,1.37,19.09,69.08,1.35,0.2306,3.6
3.28,333.32,22.43,11.48,2.39,14.74,70.41,1.325,0.2292,0
3.4,161.67,23.41,12.19,0.29,16.28,62.51,1.3,0.2269,0
