"EV24","FG","Q","SQ","TN","TX","UG","LAI","VWC5_imputed","rd_imputed"
0.9,210.92,6.13,0.92,6.42,13.41,87.14,1.8375,0.2543,1.4
1.02,515.31,7.09,1.09,5.44,12.25,80.28,2,0.2532,4.4
1.66,427.95,12.39,7.15,3.86,12.12,78.59,1.9125,0.2525,1.3
1.51,161.65,11.16,3.49,2.09,12.95,81.52,1.825,0.2525,0
2.64,246.69,18.61,10.01,0.42,15.99,66.17,1.7375,0.2508,0.9
2.38,221.34,15.85,7.1,5.8,16.77,70.17,1.65,0.2497,0
3.25,438.06,20.22,11.58,7,19.68,61.77,1.5625,0.2478,0.6
2.63,198.96,16.97,8.51,5.21,18.82,75.99,1.475,0.249,7
1.58,135.75,11.21,2.52,3.06,14.36,87.07,1.3875,0.2631,0
2.73,164.23,18.52,9.81,2.25,17.16,71.61,1.3,0.2572,4
1.62,363.23,10.77,3.92,8.09,15.78,83.34,1.3375,0.2602,4.1
1.7,450.75,12,4.22,3.63,14.51,77.81,1.375,0.2691,0.6
2.2,212.68,16.82,8.74,1.73,11.44,77.51,1.4125,0.262,2.7
2.21,348.58,16.01,7.27,-0.95,13.57,68.46,1.45,0.2577,0
2.22,310.24,15.58,6.05,1.74,14.88,69.9,1.4875,0.2533,0
3.23,229.99,23.58,12.9,-1.41,14.5,68.15,1.525,0.2491,0
3.64,319,23.57,12.51,2.17,18.33,61.88,1.5625,0.2439,0
2.4,330.86,16.68,5,5.19,13.93,63.52,1.6,0.2371,0
1.86,319.12,14.16,5.68,1.19,10.37,68.22,1.675,0.2336,0
2.1,315.47,17.39,9.2,0.43,9.19,76.6,1.75,0.2329,1.4
1.07,366.35,8.78,1.62,0.06,9.29,85.38,1.825,0.2366,9
1.57,499.43,12.74,5.78,0.51,8.09,85.26,1.9,0.2556,7
1.72,405.1,13.49,4.84,2.46,10.35,83.26,1.975,0.2702,5.5
2.23,262.04,17.58,8.81,0.64,10.4,80.04,2.05,0.2678,0.5
1.14,419.43,8.53,2.63,3.68,10.09,81.59,2.125,0.2618,2.4
1.75,244.17,12.74,2.55,3.96,12.31,73.97,2.2,0.259,0
2.99,269.88,21.28,8.97,2.33,14.29,72.89,2.075,0.2533,0
3.47,193.21,22.63,11.46,1.08,19.48,68.17,1.95,0.2461,3.7
3.39,311.96,23.07,11.43,2.31,15.23,70.14,1.825,0.2425,0
3.41,153.41,23.6,12.33,0.38,16.19,62.51,1.7,0.2376,0
4.3,298.08,27.05,13.94,4.4,19.6,53.94,1.575,0.228,0
4.33,293.21,24.83,13.5,8.18,24.63,56.93,1.45,0.2133,0
4.54,275.63,25.09,13.24,10.17,26.62,49.36,1.325,0.1913,0
4.89,413.67,26.71,14.34,12.49,25.71,43.95,1.2,0.1634,0
4.57,419.72,24.92,12.02,13.57,25.77,50.14,1.075,0.1384,0
1.96,247.16,11.05,1.09,14.79,22.17,67.9,0.95,0.1229,0.2
4.17,301.9,22.92,10.79,14.01,26.22,58.8,0.825,0.1163,0
4.57,408.74,25.98,13.64,13.48,25.5,51.64,0.7,0.1073,0
4.4,406.35,25.67,12.84,8.93,24.12,57.05,0.575,0.1001,0.1
2.38,385.97,16.86,5.55,5.38,13.43,65.44,0.45,0.095,0
2.69,341.49,19.12,8.13,4.23,13.52,65.2,0.325,0.0935,0.2
1.92,213.18,13.36,2.92,3.02,13.73,71.35,0.2,0.0932,0
2.03,257.98,13.04,3.45,7.34,18.82,67.73,0.4625,0.0934,0
2.26,283.34,14.06,3.35,8.12,20.43,75.16,0.725,0.0922,2.1
2.72,208.9,17.21,4.87,8.67,18.91,77.82,0.9875,0.0912,0.4
1.36,333.71,8.34,1.15,9.32,17.67,82.66,1.25,0.0905,0.5
3.58,372.63,20.4,6.5,11.63,24.18,69.62,1.5125,0.092,0.7
1.33,262.84,7.79,0.44,14.43,19.34,83.83,1.775,0.0922,6.4
0.74,367.1,4.83,0.06,10.61,14.49,94.21,2.0375,0.0954,7.7
1.65,281.97,10.92,0.68,9.61,14.65,78.74,2.3,0.0971,0
