"EV24","FG","Q","SQ","TN","TX","UG","LAI","VWC5_imputed","rd_imputed"
0.9,213.76,6.13,0.97,6.34,13.34,86.96,1.125,0.3033,1
1,520.65,6.94,1.07,5.42,12.11,80.51,1.2,0.3076,3.3
1.66,435.3,12.38,7.18,3.91,12.01,78.69,1.175,0.3189,1.3
1.52,165.36,11.24,3.59,2.1,12.84,81.81,1.15,0.3142,0
2.63,249.36,18.54,10.02,0.51,15.96,66.4,1.125,0.3107,1
2.37,222.57,15.85,7.1,5.67,16.67,70.35,1.1,0.3081,0
3.26,446.58,20.3,11.72,6.99,19.5,61.94,1.075,0.3039,0.6
2.68,203.16,17.2,8.71,5.1,18.76,75.71,1.05,0.3022,6.1
1.62,138.4,11.52,2.8,2.97,14.47,86.83,1.025,0.3104,0
2.69,164.7,18.27,9.69,2.16,17.11,71.56,1,0.3067,4
1.57,358.44,10.46,3.71,8.06,15.62,84.13,1.025,0.3099,4.9
1.71,455.42,12.08,4.27,3.64,14.25,78.01,1.05,0.3179,0.3
2.17,216.24,16.67,8.73,1.6,11.36,77.06,1.075,0.3128,3.2
2.19,358.11,15.87,7.16,-0.93,13.52,68.63,1.1,0.2715,0
2.25,315.26,15.79,6.31,1.7,14.83,70.09,1.125,0.266,0
3.21,227.56,23.51,12.85,-1.57,14.45,68.29,1.15,0.2606,0
3.63,319.12,23.63,12.6,2.13,18.18,62.26,1.175,0.2551,0
2.41,329.93,16.78,5.17,5.08,13.85,63.89,1.2,0.2497,0
1.88,322.89,14.39,5.82,1.23,10.34,68.31,1.2375,0.2444,0
2.12,323.13,17.51,9.33,0.36,9.23,76.76,1.275,0.2393,1.7
1.08,372.14,8.82,1.68,0.01,9.22,85.37,1.3125,0.2344,10.3
1.52,502.78,12.39,5.63,0.49,7.92,85.3,1.35,0.2298,7.6
1.74,406.18,13.68,4.89,2.29,10.34,83.06,1.3875,0.2254,5.6
2.21,263.14,17.45,8.74,0.63,10.34,80.02,1.425,0.2213,1.1
1.16,427.18,8.6,2.52,3.69,10.06,81.45,1.4625,0.2176,1.5
1.8,249.36,13.07,2.76,3.9,12.39,73.35,1.5,0.2142,0
2.97,267.11,21.09,8.86,2.25,14.38,72.98,1.4375,0.2111,0
3.46,201.37,22.55,11.39,1.13,19.42,68.4,1.375,0.2084,3.6
3.38,315.76,22.96,11.43,2.29,15.14,70.04,1.3125,0.206,0
3.41,152.97,23.54,12.29,0.32,16.21,62.54,1.25,0.204,0
4.29,301.35,27.03,13.94,4.44,19.56,54.09,1.1875,0.2023,0
4.33,296.22,24.85,13.48,8.21,24.61,57.03,1.125,0.2009,0
4.54,280.13,25.09,13.26,10.18,26.63,49.46,1.0625,0.1998,0
4.88,419.08,26.71,14.4,12.46,25.68,44.2,1,0.199,0
4.58,426.33,25.03,12.17,13.58,25.74,50.31,0.8875,0.1985,0
1.99,252.91,11.22,1.06,14.78,22.25,67.34,0.775,0.1983,0
4.17,305.8,22.93,10.76,14.03,26.21,58.65,0.6625,0.1983,0
4.6,418.64,26.17,13.81,13.48,25.44,51.35,0.55,0.1986,0
4.4,413.06,25.71,12.89,8.87,24.05,56.97,0.4375,0.1991,0.2
2.39,394.82,16.91,5.6,5.36,13.37,65.6,0.325,0.1998,0
2.71,350.26,19.33,8.2,4.19,13.45,65.54,0.2125,0.2007,0
1.93,220.41,13.44,3.02,3.02,13.56,71.63,0.1,0.2018,0
2.02,256.49,13.05,3.65,7.25,18.81,67.89,0.175,0.2032,0
2.26,285.72,14.1,3.42,8.01,20.32,74.96,0.25,0.2047,2.1
2.68,211.29,16.97,4.64,8.65,18.86,78.67,0.325,0.2063,0.4
1.34,338.78,8.23,1.1,9.37,17.66,82.84,0.4,0.2082,1
3.57,374.75,20.36,6.46,11.56,24.11,69.79,0.475,0.2102,0.9
1.33,262.23,7.75,0.46,14.44,19.28,83.94,0.55,0.2124,8.3
0.75,375.56,4.85,0.05,10.61,14.48,94.09,0.625,0.2147,8.1
1.67,290.55,11.02,0.68,9.74,14.64,78.78,0.7,0.2171,0.1
2.12,138.14,13.54,2.94,7.6,16.17,82.37,0.85,0.2197,0
4.04,168.59,24.55,9.9,6.18,21.59,72.29,1,0.1413,0
3.17,259.79,18.09,5.61,12.43,21.15,79.18,1.15,0.1408,5.8
3.79,173.28,21.68,6.25,12.39,24.23,77.31,1.3,0.142,0
1.43,279.05,8.18,0.94,13.43,20.24,85.93,1.45,0.1414,26.9
0.92,315.97,5.26,0.15,15.32,20.18,94.08,1.6,0.2261,37.2
2.55,215,14.72,4.56,13.27,21.87,79.26,1.75,0.4248,0.6
1.68,256.93,9.6,2.95,13.03,24.12,89.54,1.9,0.4062,5.5
2.79,332.93,15.76,2.88,14.54,23.64,86.23,1.825,0.4094,37.3
2.58,187.2,14.66,3.99,14.36,22.75,88.75,1.75,0.435,3.4
3.6,202.78,19.83,6.92,13.85,26.39,83.09,1.675,0.4273,0
5.04,226.4,27.25,13.22,13.76,28,71.39,1.6,0.4057,0
4.83,210,26.42,13.01,12.98,27.01,73.5,1.525,0.3767,0
4.05,209.37,21.55,7.25,15.04,27.21,77.31,1.45,0.3659,0
4.33,251.2,25.16,10.3,11.79,23.15,77.73,1.375,0.3583,0
4.84,228.68,28.92,12.82,9.28,21.75,65.12,1.3,0.3557,0
4.16,141.94,24.44,8.55,8.27,22.49,67.58,1.175,0.3533,0
3.16,182.17,17.97,4.07,13.29,22.15,71.79,1.05,0.3508,0
2.04,139.56,11.93,1.08,14.21,21.79,87.53,0.925,0.3755,16.4
1.98,275.29,11.87,1.98,13.83,20.06,91.61,0.8,0.4202,26.9
2.42,288.79,14.52,4.09,12.87,20.88,85.01,0.675,0.4209,3.1
2.58,182.97,15.6,3.98,11.33,19.4,87.12,0.55,0.4224,6.7
3.3,149.23,19.92,6.85,8.49,21.06,80.91,0.425,0.4239,10.4
2,183.7,12.13,2.07,12.61,19.61,88.44,0.3,0.425,7.1
2.3,275.93,14.11,3.16,12.62,18.77,85.8,0.4,0.4259,1.5
3.33,208.25,20.14,6.13,11.84,19.24,74.16,0.5,0.4162,0.2
1.21,413.64,7.28,0.51,12.72,18.84,86.07,0.6,0.4085,17.1
1.88,240.3,10.73,0.5,15.58,21.05,92.01,0.7,0.4286,1.7
4.12,216.71,22.3,9.52,15.32,25.62,79.05,0.8,0.4262,0
4.44,207.47,22.53,8.4,18.57,31.5,78.17,0.9,0.4079,31.9
2.78,214.76,15.13,4.15,15.28,23.98,83.84,1,0.4209,0
1.22,179.21,7.42,1.41,11.03,18.51,89.15,1.1,0.4222,6.4
2.87,290.31,18.33,7.54,10.81,19.69,85.38,1.15,0.4251,4
1.46,299.14,8.8,2.28,11.39,17.72,89.83,1.2,0.4274,4.9
3.62,211.66,20.89,6.06,11.33,22.81,74.87,1.25,0.4238,8.2
3.04,366.82,17.79,4.4,13.42,21.12,77.08,1.3,0.4299,1
1.62,355.14,9.47,1.04,14.54,19.73,86.48,1.35,0.4145,1.4
1.56,392.19,8.97,0.41,14.91,20.93,87.62,1.4,0.4128,15.7
3.33,393.42,20.28,7.73,9.8,19.23,77.05,1.45,0.4337,2
3.51,274.07,20.98,7.93,10.07,20.46,74.69,1.5,0.4301,0.5
3.51,136.04,20.31,9.02,9.84,22.38,77.93,1.5125,0.4072,0
2.15,378.64,12.81,4.56,10.11,20.99,81.86,1.525,0.4036,1.3
3.98,237.42,23.96,11.04,9.07,20.8,75.07,1.5375,0.395,0
3.71,160.67,21.65,7.5,7.33,22.38,72.88,1.55,0.3898,0
2.42,306.12,13.61,3.15,14.56,21.86,75.57,1.5625,0.3838,0
3.46,259.24,19.05,4.39,14.65,24.67,75.89,1.575,0.3777,0
4.63,303.15,24.37,10.31,15.57,29.55,69.37,1.5875,0.3704,0
3.24,458.5,18.04,6.97,15.39,23.25,66.63,1.6,0.3634,0
3.75,291.23,21.82,7.46,12.51,23.58,76.14,1.6125,0.3574,0
2.22,223.41,13.71,4.26,9.88,19.23,84.04,1.625,0.3545,2.1
3.14,276.82,19.3,7.23,7.8,20,74.55,1.6375,0.3525,0
3.31,224.62,19.37,9.12,9.37,21.86,72.59,1.65,0.3483,0
2.25,261.76,12.54,2.64,14.23,24.25,79.29,1.6625,0.344,0
2.32,241.23,13,4.88,13.66,24.75,82.87,1.675,0.3413,1.5
4.48,158.59,23.92,11.5,12.41,28.25,71.98,1.6875,0.3363,0
5.18,164.73,26.85,14.67,13.03,30.74,60.94,1.7,0.3244,0
4.76,262.45,23.97,11.13,17.9,34.81,62.12,1.6125,0.3045,0
4.67,203.08,24.5,10.87,16.33,28.48,72.33,1.525,0.2772,17.9
3.03,181.76,16.38,5.7,17.41,26.28,81.99,1.4375,0.286,0
3.28,206.05,17.61,5.81,17.9,26.69,83.72,1.35,0.2904,0
2.8,128.09,15.14,5.1,16.62,26.77,83,1.2625,0.2821,0
2.62,210.23,14.32,3.4,14.81,24.82,80.41,1.175,0.2616,0
3.27,117.98,18.31,5.78,12.16,24.5,74.22,1.0875,0.2363,0
2.96,294.62,16.57,4.86,14.13,22.82,77.73,1,0.2234,1.3
2.49,235.89,13.85,3.34,15.93,24.23,83.43,1.0375,0.2166,8.1
2.46,307.32,13.95,3.59,15.16,23.43,82.03,1.075,0.2775,0
2,218.53,11.31,2,14.03,22.96,85.82,1.1125,0.2849,2.2
2.55,210.25,14.82,5.18,11.71,21,82.06,1.15,0.2768,1.3
