"EV24","FG","Q","SQ","TN","TX","UG","LAI","VWC5_imputed","rd_imputed"
0.97,532.63,6.76,1.08,5.42,11.95,80.81,1.2,0.221,3
1.66,447.55,12.38,7.17,3.98,11.87,78.82,1.175,0.2281,1
1.54,170.66,11.41,3.76,2.1,12.72,82.27,1.15,0.2339,0
2.61,256.33,18.43,10.04,0.67,15.93,66.81,1.125,0.2354,1.1
2.38,227.63,16,7.23,5.51,16.5,70.83,1.1,0.2415,0
3.27,458.62,20.34,11.81,7.04,19.36,62.18,1.075,0.24,0.5
2.7,209.17,17.24,8.77,4.85,18.63,75.54,1.05,0.2377,5.4
1.68,144.34,11.92,3.15,2.78,14.61,86.66,1.025,0.2403,0
2.63,167.5,17.94,9.51,2,17.06,71.53,1,0.2417,5.1
1.52,355.28,10.13,3.45,8.05,15.43,85.14,1,0.2533,6.8
1.73,464.11,12.25,4.32,3.69,13.94,78.29,1,0.3302,0.3
2.13,223.45,16.43,8.73,1.54,11.22,76.52,1,0.3151,2.3
2.18,373.59,15.81,7.09,-0.89,13.47,68.89,1,0.3007,0
2.29,322.78,16.08,6.63,1.69,14.73,70.34,1,0.2889,0
3.2,228.45,23.46,12.79,-1.66,14.4,68.56,1,0.2778,0
3.61,324.93,23.65,12.65,2.14,18.02,62.71,1,0.2679,0
2.41,333.4,16.8,5.24,5.05,13.76,64.62,1,0.2572,0
1.92,331.51,14.71,6.02,1.32,10.32,68.7,1.0125,0.2462,0
2.13,337.57,17.63,9.47,0.28,9.24,77.05,1.025,0.2356,2.2
1.08,384.08,8.85,1.72,-0.03,9.11,85.42,1.0375,0.2317,10.4
1.47,517.17,12.05,5.47,0.49,7.78,85.11,1.05,0.2444,8.8
1.78,412.83,13.9,4.96,2.06,10.26,82.88,1.0625,0.3032,4.8
2.19,266.39,17.34,8.69,0.53,10.25,79.84,1.075,0.3307,1.8
1.18,442.59,8.81,2.38,3.74,10.05,81.09,1.0875,0.3189,1.1
1.86,258.07,13.53,3.08,3.83,12.41,72.77,1.1,0.3078,0
2.94,263.71,20.92,8.82,2.15,14.53,72.93,1.0625,0.2955,0
3.43,216.91,22.38,11.3,1.21,19.31,68.69,1.025,0.2835,3.4
