"EV24","FG","Q","SQ","TN","TX","UG","LAI","VWC5_imputed","rd_imputed"
0.92,218.06,6.25,1.02,6.31,13.36,86.66,1.125,0.3844,1
0.99,527.29,6.89,1.09,5.44,12.07,80.57,1.2,0.3858,3.9
1.66,440.2,12.39,7.15,3.93,12,78.72,1.2375,0.4123,1
1.53,166.95,11.33,3.66,2.09,12.87,81.96,1.275,0.3943,0
2.63,253.62,18.52,10.04,0.59,15.97,66.57,1.3125,0.3781,1.1
2.4,226.18,16.07,7.26,5.67,16.6,70.63,1.35,0.367,0
3.26,450.07,20.26,11.68,7.05,19.54,62,1.3875,0.3516,0.5
2.66,204.71,17.05,8.63,4.97,18.7,75.79,1.425,0.3434,5.9
1.64,141.41,11.62,2.88,2.86,14.51,86.96,1.4625,0.3577,0
2.67,166.99,18.19,9.68,2.11,17.12,71.49,1.5,0.3404,4.8
1.57,359.89,10.43,3.66,8.08,15.6,84.4,1.3875,0.3794,6.6
1.73,459.44,12.18,4.28,3.67,14.21,78.1,1.275,0.414,0.4
2.16,219.77,16.62,8.78,1.73,11.31,76.84,1.1625,0.3882,2
2.2,364.06,15.94,7.2,-0.93,13.52,68.68,1.05,0.3602,0
2.26,317.69,15.87,6.37,1.72,14.78,70.15,0.9375,0.3378,0
3.22,230.5,23.53,12.85,-1.56,14.45,68.45,0.825,0.3217,0
3.63,324.81,23.61,12.57,2.19,18.18,62.32,0.7125,0.3039,0
2.4,334.19,16.69,5.07,5.16,13.84,64.14,0.6,0.2866,0
1.9,327.52,14.48,5.87,1.28,10.35,68.48,0.75,0.2758,0
2.12,329.86,17.53,9.4,0.35,9.21,76.69,0.9,0.2698,1.7
1.08,378.3,8.8,1.67,0.01,9.2,85.34,1.05,0.3066,10.2
1.52,513.82,12.42,5.64,0.51,7.96,85.06,1.2,0.3758,8.1
1.75,411.72,13.73,4.91,2.22,10.3,82.95,1.35,0.3858,4.6
2.21,265.03,17.46,8.77,0.54,10.31,79.86,1.5,0.3807,1.5
1.18,434.85,8.77,2.5,3.73,10.08,81.23,1.65,0.3693,1.1
1.82,252.88,13.21,2.87,3.89,12.37,73.19,1.8,0.3507,0
2.97,266.42,21.11,8.93,2.23,14.45,72.84,1.7625,0.319,0
3.44,208.75,22.45,11.37,1.17,19.39,68.44,1.725,0.2922,3.3
3.35,318.18,22.86,11.44,2.32,15.06,70.02,1.6875,0.3131,0
3.41,155.06,23.53,12.29,0.33,16.22,62.43,1.65,0.2866,0
4.3,303.92,27.05,13.94,4.51,19.54,54.05,1.6125,0.2624,0
4.33,297.2,24.82,13.49,8.25,24.63,57.1,1.575,0.2426,0
4.54,279.32,25.06,13.22,10.18,26.65,49.6,1.5375,0.2218,0
4.88,421.02,26.7,14.44,12.5,25.69,44.29,1.5,0.1994,0
4.57,429.08,24.98,12.12,13.61,25.73,50.41,1.325,0.1779,0
1.97,254.65,11.12,1,14.79,22.21,67.5,1.15,0.1652,0
4.16,307.64,22.87,10.7,14.05,26.19,58.79,0.975,0.153,0
4.6,421.79,26.13,13.8,13.51,25.41,51.34,0.8,0.1438,0
4.4,419.21,25.74,12.91,8.89,24.02,57.16,0.625,0.1369,0
2.39,401.61,16.96,5.64,5.37,13.35,65.57,0.45,0.127,0
2.71,354.24,19.33,8.23,4.21,13.41,65.56,0.275,0.1248,0
1.94,221.88,13.47,3.01,2.96,13.47,71.69,0.1,0.1222,0
2.04,259.2,13.15,3.76,7.22,18.88,67.91,0.2125,0.1228,0
2.25,288.43,14.04,3.39,7.94,20.3,75.04,0.325,0.1187,2.6
2.67,214.86,16.91,4.57,8.72,18.83,78.94,0.4375,0.1254,0.4
1.36,345.11,8.32,1.14,9.4,17.73,82.81,0.55,0.1272,2
3.55,377.65,20.28,6.35,11.55,24.07,69.88,0.6625,0.1356,1.2
1.31,262.66,7.64,0.41,14.46,19.19,84.23,0.775,0.1379,12.1
0.76,381.04,4.94,0.06,10.6,14.45,93.95,0.8875,0.2028,9
1.72,297.16,11.34,0.74,9.72,14.72,78.39,1,0.2142,0.2
2,140.54,12.87,2.84,7.61,16.12,82.64,1.1125,0.2068,0
4.03,171.25,24.58,9.94,6.16,21.55,72.46,1.225,0.1968,0
3.25,264.16,18.49,5.75,12.43,21.15,78.91,1.3375,0.183,4.2
3.82,176.49,21.83,6.37,12.37,24.23,77.54,1.45,0.2278,0
1.41,282.06,8.13,0.95,13.44,20.22,85.98,1.5625,0.2306,23.3
0.89,325.14,5.12,0.12,15.32,19.97,94.13,1.675,0.3592,46.1
2.54,216.46,14.61,4.46,13.27,21.86,79.43,1.7875,0.4744,0.5
1.71,262.33,9.72,3,12.96,24.13,89,1.9,0.4506,5.3
2.75,345.25,15.57,2.73,14.46,23.38,86.19,1.85,0.4686,14.9
2.55,188.98,14.52,3.92,14.3,22.6,88.93,1.8,0.4724,1.8
3.59,205.35,19.78,6.91,13.82,26.33,83.22,1.75,0.4662,0
5.03,229.22,27.21,13.14,13.75,27.99,71.36,1.7,0.4243,0
4.83,214.89,26.38,13.04,12.93,27.01,73.25,1.65,0.3767,0
4.06,213.39,21.63,7.26,15.05,27.15,77,1.6,0.3365,0
4.32,254.57,25.08,10.22,11.82,23.13,77.67,1.55,0.3157,0
4.86,232.06,28.99,12.94,9.32,21.73,65.21,1.5,0.2987,0
4.16,143.23,24.39,8.48,8.3,22.5,67.52,1.575,0.2861,0
3.13,183.95,17.83,3.99,13.31,22.11,71.87,1.65,0.2782,0
2.05,141.83,12,1.1,14.37,21.84,87.39,1.725,0.3056,19.1
1.97,277.76,11.85,1.97,13.83,20.01,91.57,1.8,0.4278,26
2.41,291.3,14.47,4.15,12.81,20.9,85.06,1.875,0.4529,4
2.56,183.02,15.53,3.98,11.19,19.31,87.24,1.95,0.4604,9.4
3.3,151.11,19.9,6.86,8.26,21.13,80.87,2.025,0.4613,11.7
2.03,184.54,12.29,2.09,12.6,19.65,88.31,2.1,0.4641,10.9
2.29,282.19,14.11,3.17,12.63,18.69,85.77,2.075,0.4631,1.7
3.34,212.29,20.18,6.14,11.84,19.23,73.99,2.05,0.4621,0.2
1.18,420.37,7.1,0.48,12.81,18.8,86.27,2.025,0.4649,17.1
1.87,241.84,10.68,0.5,15.56,21.01,92.15,2,0.4712,2.3
4.14,219.27,22.39,9.69,15.24,25.61,79.08,1.975,0.4669,0
4.39,208.09,22.29,8.23,18.59,31.42,78.34,1.95,0.4638,27.4
2.78,217.74,15.11,4.11,15.14,23.82,83.76,1.925,0.4714,0
1.26,180.98,7.65,1.5,10.97,18.55,88.98,1.9,0.4725,7.3
2.87,295.63,18.42,7.64,10.85,19.68,85.39,1.85,0.4613,3.6
1.46,302.63,8.8,2.33,11.36,17.7,89.8,1.8,0.4097,5
3.56,213.62,20.53,5.9,11.26,22.81,75,1.75,0.411,8
3.05,375.42,17.83,4.4,13.43,21.13,77.18,1.7,0.4533,1.6
1.62,361.43,9.48,1.07,14.52,19.71,86.6,1.65,0.4149,1.9
1.55,401.71,8.9,0.39,14.83,20.91,87.61,1.6,0.428,16.6
3.35,401.78,20.4,7.72,9.67,19.23,76.82,1.55,0.4896,1.8
3.51,278.11,20.97,8.03,10.09,20.5,74.46,1.5,0.4406,0.2
3.54,137.28,20.5,9.1,9.84,22.45,77.71,1.6,0.424,0
2.14,384.44,12.81,4.57,10.1,20.96,81.89,1.7,0.4153,1.6
3.99,238.3,24.02,11.07,8.99,20.74,75.07,1.8,0.4014,0
3.69,164.03,21.51,7.38,7.32,22.38,72.89,1.9,0.3641,0
2.4,311.61,13.55,3.15,14.56,21.87,75.57,2,0.3032,0
3.47,264.93,19.06,4.45,14.67,24.69,75.89,2.1,0.267,0
4.61,309.42,24.33,10.24,15.46,29.55,69.5,2.2,0.2389,0
3.22,469.54,17.96,6.98,15.4,23.25,66.71,2.3,0.2137,0
3.77,293.94,22,7.52,12.49,23.57,76.23,2.175,0.1883,0
2.21,228.13,13.7,4.34,9.94,19.13,83.91,2.05,0.1695,3.9
3.17,281.45,19.43,7.37,7.87,20.01,74.41,1.925,0.1523,0
3.34,228.62,19.53,9.17,9.34,21.83,72.53,1.8,0.117,0
2.27,267.64,12.64,2.7,14.31,24.27,79.28,1.675,0.085,0
2.33,242.82,13.07,4.91,13.7,24.74,82.95,1.55,0.0736,1.5
4.5,160.33,24.01,11.46,12.46,28.22,72.04,1.425,0.0619,0
5.18,167.49,26.81,14.72,13.11,30.73,61.05,1.3,0.0393,0
4.75,266.06,23.92,11.15,17.91,34.79,62.22,1.275,0.0269,0
4.65,207.19,24.49,10.84,16.28,28.37,72.45,1.25,0.0224,15.2
3.05,183.24,16.49,5.63,17.41,26.25,81.98,1.225,0.0232,0
3.29,209.76,17.62,5.79,17.91,26.66,83.61,1.2,0.0237,0
2.79,130.37,15.14,5.16,16.53,26.71,82.84,1.175,0.0238,0
2.59,214.53,14.14,3.33,14.67,24.75,80.51,1.15,0.0219,0
3.27,121.67,18.34,5.83,11.95,24.5,74.15,1.125,0.0215,0
2.93,300.66,16.39,4.8,14.13,22.76,77.93,1.1,0.0188,0.7
2.5,238.39,13.88,3.36,15.92,24.24,83.53,1.1375,0.0207,7.8
2.44,312.04,13.88,3.52,15.17,23.36,82.06,1.175,0.025,0.8
2,220.61,11.31,1.99,13.99,22.95,85.77,1.2125,0.0276,1.7
2.58,214.34,14.96,5.27,11.79,20.99,81.8,1.25,0.0268,2.5
2.63,216.82,15.42,4.91,11.27,21.93,79.72,1.2875,0.0253,5.6
1,292.46,5.9,0.04,13.43,18.3,96.41,1.325,0.0305,10.1
0.73,429.67,4.24,0.39,15.77,19.44,94.19,1.3625,0.0438,18
2.31,381.62,13.29,3.78,12.79,20.96,81.41,1.4,0.0561,0.6
3,270.31,17.53,7.34,11.46,23.11,80.94,1.4125,0.0548,0.8
2.72,259.22,15.74,6.32,9.88,23.16,83.33,1.425,0.0489,0
2.86,346.28,16.07,6.11,9.79,24.06,77.62,1.4375,0.0408,0
2.71,365.86,15.69,6.21,12.33,22.13,74.32,1.45,0.0369,0.4
2.41,226.62,15.15,6.71,9.79,19.25,79.56,1.4625,0.0312,2.1
2.87,209.14,18.47,8.16,7.26,17.78,79.65,1.475,0.0296,0.5
0.97,345.86,6.21,0.42,6,15.95,92.67,1.4875,0.0419,7.3
2.26,307.89,12.66,3.76,14.99,23.16,86.87,1.5,0.0708,0
2.46,282.05,14.03,4.55,13.47,22.95,83.4,1.5375,0.0671,0
2.64,151.82,15.33,4.25,11.39,23.01,76.79,1.575,0.0533,0
3.97,222.8,23,11.79,10.92,22.33,73.53,1.6125,0.0401,0
3.78,286.11,22.17,11.67,10.45,22.64,74.6,1.65,0.0409,0
4.19,284.27,24.05,13.22,10.71,24.83,64.91,1.6875,0.0353,0
4.06,199.6,23.2,12.82,9.08,25.33,67.39,1.725,0.0302,0
2.63,227.54,14.8,5.44,10.55,26.31,76.29,1.7625,0.0276,1.9
2.97,353.14,16.71,7.48,14.78,24.04,72.8,1.8,0.0281,0
1.64,425.18,9.64,3.26,13.98,19.45,84.74,1.8,0.0268,5.3
1.57,301.07,9.01,3.54,12.16,23.11,86.36,1.8,0.0294,0.2
4.03,144.86,21.84,12.84,11.34,28.29,71.05,1.8,0.0301,0
4.23,193.74,21.73,12.89,15.59,31.67,66.5,1.8,0.0337,0
4.22,176.15,21.52,12.83,16.65,32.72,68.02,1.8,0.0321,0
3.72,225.73,19.29,10.88,17.58,29.68,73.76,1.8,0.0298,0
3.44,300.6,17.94,8.4,16.68,29.47,74.98,1.8,0.0283,0.8
3.1,314.64,16.66,9.1,14.61,27.01,73.2,1.8,0.0267,0
2.39,217.25,14,5.27,10.41,22.62,80.73,1.8125,0.0239,0
3.46,102.98,20.35,12.41,7.79,24.18,72.68,1.825,0.0207,0
3.45,157.04,19.64,11.76,9.76,26.05,70.93,1.8375,0.0184,0
2.47,194.11,14.37,7.05,11.09,24.16,82.75,1.85,0.0167,0
2.62,242.84,15.13,5.7,9.77,23.22,78.18,1.8625,0.014,1.3
2.49,259.65,14.23,5.95,13.09,23.56,78.27,1.875,0.014,0.5
