"EV24","FG","Q","SQ","TN","TX","UG","LAI","rd_imputed","VWC5_imputed"
4.16,230.82,22.52,10,15.07,25.51,79.19,1.3625,0,0.2718
4.17,209.44,21.25,7.46,18.68,31.03,79.18,1.175,12.6,0.2398
2.76,229.75,15.01,3.96,14.58,23.36,83.56,0.9875,0,0.285
1.39,184.65,8.41,1.8,10.75,18.67,88.55,0.8,10.1,0.2672
2.84,316.04,18.38,7.71,11.02,19.53,85.49,0.9,3.5,0.2714
1.47,319.38,8.86,2.56,11.13,17.6,89.52,1,6.2,0.2523
3.38,219.71,19.52,5.44,10.81,22.77,75.45,1.1,8.8,0.2505
3.04,408.28,17.8,4.4,13.38,21.09,77.9,1.2,2.1,0.2785
1.63,383.05,9.53,1.16,14.39,19.57,87.15,1.3,3.6,0.2553
1.49,438.78,8.56,0.26,14.59,20.78,87.66,1.4,10.1,0.2728
3.44,432.96,20.89,7.83,9.47,19.17,76.08,1.5,1.7,0.298
3.48,295.15,20.79,8.45,10.1,20.58,74.23,1.6,0,0.2755
3.61,141.93,20.97,9.56,9.76,22.65,76.89,1.5375,0,0.2487
2.12,410.9,12.71,4.5,10.09,20.7,82.29,1.475,1.8,0.2333
3.99,248.88,24.07,11.25,8.67,20.46,75.17,1.4125,0,0.223
3.64,181.68,21.19,7.1,7.27,22.4,73.01,1.35,0,0.2102
2.28,331.89,12.97,2.98,14.53,21.74,76.34,1.2875,0,0.1983
3.45,288.12,19.01,4.44,14.64,24.65,76.09,1.225,0,0.1867
4.55,335.77,24.1,9.88,15.16,29.41,70.16,1.1625,0,0.171
3.15,512.87,17.61,6.92,15.44,23.18,67.19,1.1,0,0.1512
3.76,301.54,22.01,7.49,12.47,23.31,76.96,1.175,0,0.1347
2.2,244.02,13.61,4.6,10.12,18.78,83.4,1.25,3.9,0.1267
3.23,304.5,19.79,7.78,7.88,19.96,74.12,1.325,0,0.1229
3.42,247.36,19.95,9.37,9.11,21.71,72.34,1.4,0,0.1179
2.29,290.96,12.74,2.77,14.56,24.2,79.44,1.475,0,0.1137
2.44,251.48,13.68,5.24,13.76,24.63,82.73,1.55,0.7,0.112
4.57,167.03,24.45,11.53,12.57,27.95,72.27,1.625,0,0.1094
5.18,177.16,26.69,14.84,13.18,30.59,61.29,1.7,0,0.1057
4.71,281.66,23.75,11.22,17.91,34.67,62.81,1.725,0,0.1026
4.57,220.09,24.23,10.75,16.08,27.97,73.29,1.75,14.8,0.117
3.1,187.49,16.78,5.44,17.34,26.11,82.21,1.775,0,0.117
3.33,223.21,17.77,5.77,17.86,26.59,83.28,1.8,0.2,0.1175
2.84,137.79,15.48,5.36,16.19,26.43,82.49,1.825,0,0.1184
2.42,231.18,13.29,3.08,14.14,24.42,81.17,1.85,0,0.1199
3.3,135.74,18.56,6.23,11.17,24.5,73.97,1.875,0,0.1218
2.8,321.62,15.67,4.52,14.14,22.52,79.29,1.9,1.1,0.1242
2.52,245.75,14.04,3.4,15.84,24.18,84.01,1.875,7.2,0.127
