"VWC5","EV24","FG","Q","SQ","TN","TX","UG","LAI","rd_imputed"
0.1084,0.95,552.57,6.63,1.15,5.48,11.83,80.97,1.9,3.1
0.1068,1.67,462.27,12.4,7.1,4.06,11.81,78.9,1.925,0.9
0.1055,1.58,175.46,11.67,3.99,2.08,12.83,82.74,1.95,0
0.1029,2.59,269.2,18.3,10.05,0.93,15.94,67.34,1.975,1.2
0.0993,2.52,238.92,17.01,7.94,5.49,16.31,71.56,2,0
0.0958,3.25,469.06,20.21,11.69,7.21,19.45,62.39,2.025,0.4
0.0925,2.62,214.21,16.75,8.39,4.58,18.43,75.74,2.05,4.6
0.0915,1.72,153.8,12.23,3.42,2.52,14.76,86.72,2.075,0.6
0.0926,2.59,174.59,17.8,9.51,1.96,17.08,71.44,2.1,7.1
0.0925,1.51,359.75,10.06,3.3,8.11,15.35,85.87,1.925,10
0.0923,1.76,476.43,12.48,4.35,3.79,13.75,78.56,1.75,0.5
0.0908,2.11,234.39,16.23,8.69,1.76,11.1,76.4,1.575,0.9
0.0892,2.21,391.46,16.06,7.22,-0.86,13.46,69.16,1.4,0
0.0887,2.33,330.41,16.35,6.82,1.79,14.59,70.52,1.225,0
0.0867,3.22,237.85,23.49,12.77,-1.5,14.39,68.97,1.05,0
0.0856,3.59,342.01,23.58,12.57,2.33,18.03,62.9,0.875,0
0.0844,2.37,346.55,16.52,4.93,5.26,13.72,65.26,0.7,0
0.0826,1.97,345.91,14.98,6.18,1.48,10.36,69.35,0.85,0
0.0809,2.14,357.95,17.68,9.63,0.25,9.2,77.06,1,1.2
0.0808,1.08,402.56,8.79,1.69,0,9.01,85.36,1.15,9.2
0.0843,1.5,550.28,12.25,5.54,0.56,7.98,84.38,1.3,8.7
0.0859,1.8,429.8,14.03,5.02,1.98,10.19,82.61,1.45,2.8
0.0865,2.2,272.98,17.36,8.77,0.29,10.17,79.34,1.6,2.4
0.0866,1.24,465.6,9.25,2.27,3.86,10.11,80.42,1.75,1.1
0.0869,1.92,268.64,13.93,3.4,3.81,12.36,72.52,1.9,0
0.0857,3,261.75,21.26,9.16,2.09,14.69,72.52,1.925,0
0.0852,3.38,239.04,22.08,11.23,1.32,19.18,68.81,1.95,3.3
0.0854,3.29,329.43,22.56,11.51,2.4,14.79,70.17,1.975,0
0.0832,3.41,161.41,23.47,12.23,0.33,16.28,62.29,2,0
0.0819,4.3,314.89,27.06,13.94,4.75,19.46,54.07,2.025,0
0.0807,4.33,303.16,24.81,13.5,8.41,24.66,57.55,2.05,0
0.0785,4.52,282.23,25,13.13,10.19,26.71,50.15,2.075,0
0.0752,4.87,432.25,26.65,14.48,12.6,25.68,44.83,2.1,0
0.0725,4.55,444.5,24.95,12.14,13.73,25.68,50.9,1.9,0
0.0713,1.95,265.87,11.01,0.84,14.83,22.17,67.52,1.7,0.2
0.0707,4.12,316.26,22.7,10.47,14.14,26.1,59.14,1.5,0
0.0689,4.61,440.15,26.12,13.93,13.58,25.26,51.17,1.3,0
0.0665,4.39,444.57,25.88,13.03,8.91,23.82,57.86,1.1,0
0.0637,2.42,431.27,17.15,5.8,5.19,13.2,65.64,0.9,0
0.062,2.69,374.93,19.32,8.15,4.11,13.21,66.31,0.7,0
0.061,1.97,233.5,13.68,3.09,2.8,13.18,72.25,0.5,0
0.0604,2.12,266.37,13.64,4.33,6.98,19.01,68.14,0.65,0
0.0601,2.22,298.94,13.89,3.36,7.64,20.11,74.97,0.8,5.1
0.0597,2.61,227.93,16.52,4.18,8.93,18.66,80.12,0.95,0.3
0.0591,1.39,369.15,8.52,1.22,9.55,17.94,82.9,1.1,4.2
0.059,3.5,388.45,20.01,5.97,11.44,23.89,70.26,1.25,1.7
0.0603,1.26,263.67,7.33,0.31,14.42,18.95,85.21,1.4,21.1
0.0654,0.81,405.93,5.24,0.05,10.57,14.31,93.37,1.55,9
0.0643,1.87,325.58,12.29,0.91,9.77,14.93,77.37,1.7,0.2
0.0628,1.52,149.61,9.92,2.24,7.68,15.83,84.12,1.7875,0
0.0621,3.95,180.05,24.3,9.72,6.04,21.3,73.53,1.875,0
0.0618,3.39,280.92,19.31,6.24,12.25,21.06,78.11,1.9625,2.8
0.0625,3.87,191.68,22.12,6.88,12.3,24.21,77.7,2.05,0
0.0617,1.39,297.43,8.09,1.09,13.45,20.19,86.03,2.1375,16.7
0.0663,0.87,362.07,5.06,0.1,15.3,19.56,93.97,2.225,57
0.0715,2.58,222.8,14.84,4.65,13.26,21.92,79.72,2.3125,0.5
0.0715,1.93,288.94,10.9,3.45,12.85,24.47,86.51,2.4,1.9
0.0718,2.58,392.02,14.75,2.28,14.18,22.47,86.03,2.2375,0
0.0714,2.49,193.98,14.28,3.79,14.1,22.15,89.46,2.075,0.9
0.0713,3.65,216.94,20.1,7.19,13.74,26.39,82.21,1.9125,0
0.0699,5.07,246.72,27.41,13.3,13.71,27.93,70.52,1.75,0
0.0682,4.9,233.02,26.66,13.39,12.63,27,72.28,1.5875,0
