"EV24","FG","Q","SQ","TN","TX","UG","LAI","VWC5_imputed","rd_imputed"
2.83,312.32,15.87,4.57,14.16,22.6,79.49,1.9,0.1092,2.1
2.51,239.06,14,3.34,15.8,24.12,83.71,1.7125,0.1277,6.3
2.39,326.27,13.56,3.25,15.21,23.05,82.34,1.525,0.2041,2.3
1.79,221.98,10.17,1.64,14.09,22.33,87.56,1.3375,0.1489,0.8
2.61,225.81,15.18,5.4,11.67,20.91,81.46,1.15,0.1553,1.4
2.69,227.59,15.8,5.41,11.41,21.75,80.1,0.9625,0.1665,8.7
1.04,292.54,6.14,0.04,13.39,18.33,96.05,0.775,0.2168,10.3
0.78,453.05,4.5,0.64,15.65,19.58,93.65,0.5875,0.2674,13.7
2.25,404.05,13.03,4.04,12.68,20.95,81.26,0.4,0.2586,2.2
3.14,280.79,18.3,7.97,11.34,23.04,80.62,0.7,0.2221,0.4
2.66,268.35,15.61,6.36,9.71,23.06,83.5,1,0.1714,0.8
2.73,372.37,15.39,5.83,9.77,23.79,78.12,1.3,0.1372,0
2.76,386.54,16,6.28,12.32,21.9,74.11,1.6,0.1179,0.8
2.43,245.6,15.28,6.6,9.86,18.99,79.94,1.9,0.0992,2.9
2.93,225.77,18.82,8.6,7.04,17.61,79.08,2.2,0.1158,0.5
0.95,360.9,6,0.29,5.84,15.88,92.9,2.5,0.122,7.1
2.31,327.35,12.95,3.97,15.09,23.08,86.91,2.8,0.1744,0
2.36,294.87,13.43,4.07,13.51,22.73,83.57,2.8375,0.1372,0
2.61,156.27,15.16,4.1,11.33,22.67,75.94,2.875,0.1093,0
4.01,221.04,23.18,12.05,10.49,22.18,73.9,2.9125,0.0857,0
3.72,288.58,21.82,11.39,10.51,22.39,74.87,2.95,0.0686,0
4.19,294.55,24.11,13.2,10.74,24.53,65.4,2.9875,0.0559,0
4.11,216.01,23.45,12.8,9.25,25.07,67.79,3.025,0.0442,0
2.64,234.98,14.84,5.55,10.76,26.19,76.29,3.0625,0.0441,1.8
2.98,368.81,16.82,7.47,14.81,23.93,73.12,3.1,0.0565,0
1.66,441.21,9.75,3.43,14.03,19.49,84.86,3.0375,0.0972,11.6
1.54,318.03,8.85,3.5,12.25,22.95,86.7,2.975,0.172,0
4.02,151.25,21.81,12.79,11.79,28.05,70.83,2.9125,0.149,0
4.22,202.8,21.73,12.9,15.76,31.5,66.98,2.85,0.1102,0
4.21,182.29,21.49,12.81,16.72,32.51,68.67,2.7875,0.0806,0
3.71,231.1,19.29,10.92,17.39,29.28,74.32,2.725,0.0602,0
3.41,314.87,17.81,8.15,16.48,28.93,75.29,2.6625,0.0475,0
3.03,329.75,16.27,8.8,14.72,26.74,73.75,2.6,0.0421,0
2.44,228.76,14.27,5.49,10.1,22.37,80.53,2.5875,0.0403,0
3.45,104.71,20.23,12.45,7.65,24.15,73.29,2.575,0.0325,0
3.45,163.99,19.61,11.72,9.94,25.96,71.39,2.5625,0.0276,0
2.5,197.68,14.5,7.12,10.9,24.05,82.92,2.55,0.0254,0
2.56,265.22,14.85,5.45,9.72,22.98,78.79,2.5375,0.0257,2.1
2.48,274.3,14.18,5.88,13.15,23.4,78.73,2.525,0.0488,0.6
1.75,463.97,9.91,3.62,14.3,23.03,82.48,2.5125,0.0437,2.5
2.59,205.04,14.92,8.06,12.06,23.22,81.96,2.5,0.0555,0
2.86,142.37,16.19,10.18,11.01,25.92,80.79,2.5125,0.0346,0
3.4,169.59,18.88,11.86,11.94,26.89,71.28,2.525,0.0264,0
3.28,253.39,17.93,12.02,12.62,28.15,72.01,2.5375,0.0208,0
2.72,180.16,15.94,8.85,11.13,23.59,80.97,2.55,0.0174,0
3.06,171.55,17.5,11.1,9.2,26.16,71.27,2.5625,0.0157,0
1.38,152.1,7.88,1.49,14.12,23.2,85.29,2.575,0.0167,0
3.16,128.61,16.99,11.4,13.67,29.64,72.65,2.5875,0.0179,0
3.18,201.95,16.42,11.49,15.97,32.46,66.43,2.6,0.0157,0
3.17,210.69,16.36,11.42,16.75,32.4,63.43,2.4875,0.0129,0
2.92,313.51,15.3,9.18,15.67,30.36,64.66,2.375,0.0109,10.2
1.82,280.8,10.45,4.91,14.22,21.98,81.14,2.2625,0.1543,0
1.28,152.74,7.26,0.98,11.67,19.99,87.21,2.15,0.1081,0
1.5,249.66,8.86,3.42,13.05,20.08,82.62,2.0375,0.0875,0
1.88,163.94,11.78,5.25,8.83,19.84,77.31,1.925,0.0622,0
1.75,103.6,10.97,4.37,6.4,19.88,78.88,1.8125,0.0401,0
2.29,161.37,14.06,9.33,8.38,20.86,71.23,1.7,0.03,0
1.87,121.95,11.75,6.57,7.03,21.55,78.67,1.65,0.0199,0
2.07,195.09,12.84,8.27,7.11,21.52,80.52,1.6,0.0166,0
2.41,233.1,14.24,10.08,7.12,23.95,70.86,1.55,0.0116,0
2.3,310.32,13.35,9.03,10.12,26.01,70.75,1.5,0.0164,0.5
1.76,115.89,11.01,5.93,7.45,20,82.12,1.45,0.0227,0
2.29,180.88,14.29,9.93,5.18,21.59,72.62,1.4,0.0409,0
1.99,446.44,11.28,6.51,14.5,23.13,63.95,1.35,0.063,0
0.88,523.85,5.13,1.78,13.74,19.02,80.56,1.3,0.0608,1.7
1.67,303.98,10.23,5.2,11.29,18.8,78.23,1.2875,0.0612,0.5
1.26,228.05,7.89,3.12,9.95,17.89,84.97,1.275,0.0571,2.7
0.89,398.44,5.81,2.3,8.68,15.86,87.9,1.2625,0.0804,2.2
1.61,243.77,9.95,6.35,10.91,18.54,80.34,1.25,0.0491,0
1.38,366.39,8.81,5.5,8.84,17.49,78.25,1.2375,0.2425,0
1.97,420.39,13.44,10.06,4.81,14.43,70.77,1.225,0.2471,0
1,348.66,6.92,2.26,3.34,13.11,78,1.2125,0.2517,0
0.78,282.34,5.2,2.44,9.95,14.7,82.89,1.2,0.2563,0
1.28,233.26,8.76,4.2,4.74,14.68,76.53,1.2625,0.2608,0
1.4,119.52,10.04,7.6,2.32,14.04,82.57,1.325,0.2653,0
1.32,144.88,9.83,6.62,1.64,13.34,78.81,1.3875,0.2696,0
0.84,153.27,6.12,1.74,0.15,12.41,88.53,1.45,0.0121,1.4
0.52,368.54,3.54,0.35,7.02,10.05,83.23,1.5125,0.0312,0
1.02,470.07,6.98,4.21,6.71,12.01,77.06,1.575,0.016,0
1.13,382.64,7.94,5.64,7.37,13.48,77.72,1.6375,0.2859,7.4
0.52,259.55,3.55,2.08,8.62,14.67,90.48,1.7,0.2896,0.2
1.64,257.02,10.4,9.08,6.48,19.46,79,1.6875,0.2932,0.2
0.9,189.79,5.9,3.66,6.84,16.47,90.04,1.675,0.2966,0
0.61,348.43,4.23,2.58,7.03,13.62,91.71,1.6625,0.2999,15.5
0.59,347.74,4.29,2.54,4.08,11.49,89.97,1.65,0.3029,3.1
0.27,217.55,1.92,0.27,6.05,11.11,94.02,1.6375,0.1607,5.4
0.66,196.72,4.9,2.31,5.38,10.62,88.65,1.625,0.3086,2.5
0.62,138.97,4.71,2.17,-0.47,9.9,90.05,1.6125,0.3111,0.2
0.69,136.25,6.01,3.32,-1.4,8.12,94.21,1.6,0.3136,0
0.27,218.91,2.02,0.08,4.84,8.77,93.63,1.5375,0.3159,1.4
0.25,106.2,1.71,0.12,8.23,9.79,92.91,1.475,0.3182,0
0.88,145.23,6.09,4.34,6.69,12.66,88.72,1.4125,0.3203,0
0.39,332.88,2.68,0.42,8,13.28,92.72,1.35,0.3225,0
0.2,321.04,1.45,0,10.01,13.83,92.29,1.2875,0.3246,0.7
1,98.27,6.98,7.14,4.75,14.94,89.37,1.225,0.3267,0
0.89,67.51,6.4,6.29,4.36,15.16,90.53,1.1625,0.3288,0
1.04,102.05,7.38,8.05,3.87,15.77,89.84,1.1,0.331,0
0.55,154.26,3.8,2.57,3.04,14.07,94.66,1.05,0.3332,2.7
0.77,248.47,5.98,5.45,2.34,11.26,90.93,1,0.3354,2.1
0.55,230.94,4.48,3.84,0.78,10.29,93.96,0.95,0.3377,0.4
0.64,334.77,4.72,5.05,5.69,10.79,83.44,0.9,0.34,1.5
0.48,295.6,3.56,2.38,4.44,10.5,91.02,0.85,0.3424,0.7
0.43,386.24,3.35,2.02,3.72,8.49,90.36,0.8,0.3447,0.7
0.18,214.31,1.33,0.05,2.41,6.18,94.19,0.75,0.3469,2
0.49,181.81,4.16,3.01,-0.87,4.93,90.11,0.7,0.3491,0.7
0.2,234.51,1.4,0.09,-0.21,4.5,94.14,0.675,0.3511,10
0.13,168.27,1.21,0.34,2.59,6.39,96.64,0.65,0.606,9.4
0.44,275.77,3.81,3.89,-3.05,5.33,88.41,0.625,0.3545,0
0.39,251.61,3.64,3.06,-3.12,5.05,85.32,0.6,0.3558,0.5
0.21,193.01,1.71,0.06,0.21,4.74,89.34,0.575,0.3568,1.8
0.29,299.11,2.55,0.86,-1.85,5.9,93.18,0.55,0.3574,7.1
0.1,352.15,0.77,0.01,5.7,11.91,98.12,0.525,0.218,11
0.31,420.88,2,1.46,9.21,13.99,93.08,0.5,0.7433,9.1
0.41,521.46,3.03,1.59,7.89,11.63,87.61,0.825,0.6497,15.8
0.43,496.05,3.24,2.47,3.18,8.66,86.19,1.15,0.7281,1.1
0.42,436.2,3.07,2.48,3.8,7.92,80.46,1.475,0.3549,2.4
0.18,632.5,1.35,0.24,4.87,13.42,75.86,1.8,0.3535,4.1
0.24,423.14,1.55,0.32,9.42,14.34,83.08,2.125,0.2748,2.7
0.51,404.44,3.21,3.05,6.87,13.07,76.45,2.45,0.1401,0
