"VWC5","EV24","FG","Q","SQ","TN","TX","UG","LAI","rd_imputed"
0.3003,0.95,232.58,6.47,1.27,6.17,13.3,85.88,0.9625,0.6
0.2946,0.94,551.26,6.56,1.14,5.44,11.78,81.15,1,2.8
0.2945,1.67,464.71,12.39,7.14,4.08,11.66,78.97,1.025,1.1
0.2923,1.58,177.57,11.67,4.01,2.1,12.6,82.91,1.05,0.1
0.2893,2.58,267.64,18.23,10.03,0.93,15.87,67.42,1.075,1.2
0.2883,2.45,236.92,16.5,7.63,5.34,16.27,71.55,1.1,0
0.2845,3.26,474.26,20.32,11.85,7.14,19.23,62.49,1.125,0.4
0.2852,2.67,217.28,17.03,8.58,4.54,18.41,75.48,1.15,4.2
0.297,1.75,154.04,12.41,3.61,2.55,14.79,86.38,1.175,0.6
0.2938,2.57,172.78,17.6,9.3,1.86,17.02,71.61,1.2,6.9
0.3122,1.47,353.86,9.79,3.14,8.06,15.2,86.29,1.1625,9.5
0.3143,1.76,476.94,12.48,4.37,3.77,13.56,78.67,1.125,0.4
0.3035,2.07,234.55,16.08,8.61,1.44,11.06,76.29,1.0875,1.2
0.2991,2.18,395.04,15.85,7.07,-0.82,13.41,69.33,1.05,0
0.291,2.35,332.98,16.47,7.01,1.73,14.59,70.65,1.0125,0
0.2856,3.2,233.15,23.4,12.72,-1.58,14.33,68.92,0.975,0
0.2807,3.58,336.43,23.64,12.67,2.22,17.86,63.23,0.9375,0
0.277,2.39,341.52,16.72,5.2,5.09,13.64,65.58,0.9,0
0.2752,1.98,345.27,15.11,6.28,1.46,10.31,69.45,0.9375,0
0.2791,2.15,358.88,17.73,9.59,0.21,9.23,77.56,0.975,1.6
0.2989,1.09,402.19,8.85,1.75,-0.03,8.94,85.53,1.0125,9.4
0.319,1.44,542.59,11.8,5.34,0.53,7.71,84.67,1.05,8.8
0.3187,1.81,425.25,14.14,5.05,1.88,10.16,82.76,1.0875,3.3
0.3134,2.18,272.52,17.23,8.68,0.37,10.14,79.5,1.125,2.5
0.3075,1.23,465.67,9.11,2.19,3.83,10.06,80.5,1.1625,1.3
0.2993,1.94,270.3,14.08,3.5,3.76,12.38,72.39,1.2,0
0.2912,2.95,259.77,20.96,8.95,2.03,14.69,72.76,1.275,0
0.2841,3.38,239.82,22.1,11.18,1.33,19.14,69.03,1.35,3.5
0.2893,3.28,330.81,22.44,11.44,2.36,14.79,70.28,1.425,0
0.2823,3.4,159.39,23.41,12.2,0.26,16.27,62.54,1.5,0
0.2752,4.28,315.6,26.98,13.95,4.71,19.43,54.27,1.575,0
0.2675,4.33,305.27,24.91,13.49,8.39,24.61,57.61,1.65,0
0.2599,4.52,288.47,25.02,13.19,10.21,26.68,50.13,1.725,0
0.251,4.87,435.71,26.67,14.5,12.53,25.64,45.01,1.8,0
0.2433,4.57,448.65,25.09,12.33,13.7,25.64,50.96,1.6375,0
