"VWC5","EV24","FG","Q","SQ","TN","TX","UG","LAI","rd_imputed"
0.1128,4.53,418.18,24.68,11.77,13.63,25.78,50.19,1.075,0
0.1086,1.89,244.97,10.69,1.02,14.82,22.01,68.89,0.95,0.2
0.1021,4.15,300.8,22.81,10.68,14.03,26.18,59.28,0.825,0
0.0911,4.53,403.75,25.55,13.42,13.52,25.52,51.98,0.7,0
0.0846,4.41,412.01,25.68,12.85,9.03,24.13,57.53,0.575,0
0.0784,2.39,390.93,16.9,5.59,5.39,13.44,65.22,0.45,0
0.0746,2.62,340.67,18.62,7.87,4.16,13.48,65.31,0.325,0.1
0.0731,1.92,208.88,13.35,2.82,2.7,13.68,71.28,0.2,0
0.0729,2.07,263.97,13.25,3.47,7.33,18.96,67.59,0.2625,0
0.0728,2.23,286.37,13.88,3.21,8.04,20.5,75.41,0.325,2.7
0.0773,2.76,213.64,17.41,5.04,8.81,18.9,77.15,0.3875,0.5
0.0794,1.4,341.29,8.64,1.28,9.33,17.84,82.4,0.45,0.7
0.0849,3.56,376.3,20.3,6.35,11.68,24.17,69.61,0.5125,1
0.0883,1.3,264.45,7.6,0.33,14.43,19.22,84.28,0.575,9.7
0.137,0.77,369.6,4.98,0.06,10.58,14.42,94.04,0.6375,7.6
0.2097,1.72,286.63,11.36,0.79,9.25,14.78,78.02,0.7,0
0.2172,2.3,139.35,14.88,3.33,7.51,16.35,81.6,0.8375,0
0.2175,4.07,172.83,24.59,10.24,6.33,21.74,71.81,0.975,0
0.2145,3.28,261.23,18.65,5.53,12.68,21.34,78.78,1.1125,2.6
0.2424,3.83,170.59,21.9,6.27,12.28,24.21,76.86,1.25,0
0.2416,1.38,274.28,7.92,0.72,13.48,20.09,86.39,1.3875,19.2
0.3085,0.75,318.61,4.34,0.04,15.31,19.32,94.77,1.525,26.2
0.3283,2.33,212.25,13.45,3.52,13.32,21.6,80.06,1.6625,1.1
0.3238,1.43,249.77,8.32,2.46,12.8,22.99,91.62,1.8,27
0.3351,2.69,337.99,15.21,2.57,14.44,23.44,87.28,1.7625,7.7
0.3329,2.47,193.35,14.08,3.68,14.24,22.42,89.16,1.725,0.9
0.3186,3.34,200.69,18.52,6.2,13.78,25.67,86.51,1.6875,0
0.3045,4.86,215.81,26.38,12.21,13.75,27.95,73.21,1.65,0
