"VWC5","EV24","FG","Q","SQ","TN","TX","UG","LAI","rd_imputed"
0.2949,0.97,539.28,6.71,1.1,5.44,11.91,80.86,1.5,2.7
0.2982,1.67,452.46,12.39,7.15,4.01,11.86,78.85,1.475,0.8
0.2935,1.55,172.26,11.5,3.84,2.09,12.76,82.42,1.45,0.4
0.2871,2.61,260.6,18.4,10.06,0.76,15.93,66.98,1.425,1.2
0.2804,2.42,231.36,16.29,7.43,5.51,16.44,71.09,1.4,0
0.2687,3.26,462.14,20.3,11.77,7.1,19.39,62.25,1.375,0.4
0.2696,2.68,210.8,17.09,8.67,4.74,18.57,75.62,1.35,4.5
0.2673,1.69,147.54,12.02,3.24,2.69,14.65,86.78,1.325,0
0.2651,2.61,169.83,17.87,9.51,1.98,17.07,71.48,1.3,6.4
0.302,1.52,356.75,10.1,3.4,8.07,15.41,85.4,1.2125,8.9
0.3686,1.75,468.17,12.34,4.33,3.72,13.89,78.38,1.125,0.3
0.3411,2.12,227.04,16.38,8.75,1.65,11.17,76.38,1.0375,1.5
0.3221,2.19,379.55,15.89,7.14,-0.89,13.46,68.97,0.95,0
0.3029,2.3,325.25,16.17,6.69,1.72,14.68,70.4,0.8625,0
0.284,3.21,231.52,23.47,12.79,-1.62,14.39,68.76,0.775,0
0.2652,3.6,330.62,23.63,12.63,2.2,18.02,62.77,0.6875,0
0.2471,2.39,337.72,16.71,5.13,5.12,13.75,64.84,0.6,0
0.2305,1.94,336.21,14.8,6.07,1.37,10.33,68.88,0.7,0
0.217,2.14,344.32,17.65,9.54,0.27,9.23,76.97,0.8,2.3
0.2277,1.08,390.24,8.83,1.71,-0.02,9.08,85.38,0.9,10.1
0.2944,1.47,528.2,12.08,5.48,0.51,7.83,84.87,1,9.5
0.3603,1.79,418.42,13.95,4.98,2.01,10.23,82.77,1.1,3.9
0.3691,2.19,268.48,17.34,8.72,0.45,10.22,79.68,1.2,2.6
0.3699,1.2,450.26,8.97,2.35,3.78,10.07,80.87,1.3,0.9
0.3552,1.88,261.59,13.66,3.19,3.83,12.39,72.66,1.4,0
0.332,2.96,263.04,21,8.92,2.13,14.59,72.8,1.4125,0
0.3042,3.41,224.29,22.28,11.28,1.25,19.27,68.73,1.425,3.3
0.2796,3.31,324.46,22.64,11.44,2.34,14.9,70.05,1.4375,0
0.2615,3.4,157.06,23.47,12.24,0.29,16.25,62.44,1.45,0
0.2377,4.29,309.76,27.03,13.94,4.61,19.49,54.16,1.4625,0
0.2071,4.33,301.23,24.85,13.49,8.32,24.62,57.32,1.475,0
0.1715,4.53,283.59,25.04,13.21,10.19,26.67,49.86,1.4875,0
0.1337,4.87,428.36,26.68,14.5,12.51,25.66,44.64,1.5,0
0.1096,4.57,438.73,25.03,12.23,13.66,25.69,50.69,1.3125,0
0.0965,1.98,262.25,11.19,0.92,14.8,22.25,67.16,1.125,0
0.0909,4.15,313.32,22.82,10.61,14.1,26.14,58.82,0.9375,0
0.0836,4.61,434.44,26.17,13.93,13.53,25.32,51.14,0.75,0
0.0779,4.39,432.13,25.82,12.98,8.86,23.9,57.36,0.5625,0
0.0719,2.41,417.4,17.06,5.72,5.32,13.25,65.7,0.375,0
0.0689,2.71,366.98,19.44,8.23,4.16,13.3,66.02,0.1875,0
0.0671,1.96,230.57,13.59,3.1,2.86,13.26,72.05,0,0
0.0665,2.06,260.58,13.33,4.09,7.04,18.92,68.09,0.1125,0
0.0657,2.25,293.52,14.02,3.43,7.76,20.16,74.86,0.225,3.1
0.066,2.63,220.81,16.63,4.3,8.78,18.73,79.88,0.3375,0.3
0.0657,1.36,356.5,8.32,1.13,9.48,17.79,82.96,0.45,4.3
0.0689,3.53,382.66,20.17,6.19,11.46,23.96,70.1,0.5625,2
0.075,1.29,262.55,7.5,0.38,14.44,19.04,84.64,0.675,18.4
0.228,0.78,394.97,5.06,0.05,10.58,14.39,93.68,0.7875,11.9
0.2728,1.78,312.35,11.71,0.8,9.79,14.78,78.09,0.9,0.2
0.2601,1.71,144.76,11.02,2.43,7.67,15.93,83.59,1.025,0
0.2472,3.98,174.58,24.42,9.76,6.07,21.39,73.12,1.15,0.1
0.2308,3.31,272.18,18.86,6.04,12.27,21.06,78.6,1.275,2.3
0.2173,3.83,184.64,21.89,6.62,12.36,24.22,77.87,1.4,0
0.2029,1.41,290.92,8.18,1.08,13.43,20.24,85.9,1.525,15.7
0.3079,0.92,342.91,5.33,0.14,15.31,19.99,93.87,1.65,66.5
0.4618,2.61,220.41,15.03,4.79,13.26,21.95,79.38,1.775,0.4
0.397,1.89,277.51,10.67,3.36,12.96,24.52,87.07,1.9,3.1
0.3685,2.7,367.37,15.35,2.6,14.33,22.98,85.81,1.85,0.2
0.3316,2.55,189.91,14.54,3.93,14.23,22.45,89.1,1.8,1.8
0.3107,3.69,211.71,20.26,7.23,13.8,26.53,81.71,1.75,0
0.2892,5.08,240.48,27.46,13.43,13.75,27.97,70.51,1.7,0
0.2706,4.88,223.24,26.61,13.3,12.73,27.02,72.71,1.65,0
