"VWC5","EV24","FG","Q","SQ","TN","TX","UG","LAI","rd_imputed"
0.3306,0.95,232.58,6.47,1.27,6.17,13.3,85.88,1.1375,0.7
0.3315,0.94,551.26,6.56,1.14,5.44,11.78,81.15,1.2,2.4
0.3296,1.67,464.71,12.39,7.14,4.08,11.66,78.97,1.2625,1.3
0.3281,1.58,177.57,11.67,4.01,2.1,12.6,82.91,1.325,0.4
0.3256,2.58,267.64,18.23,10.03,0.93,15.87,67.42,1.3875,1.1
0.3233,2.45,236.92,16.5,7.63,5.34,16.27,71.55,1.45,0
0.3203,3.26,474.26,20.32,11.85,7.14,19.23,62.49,1.5125,0.5
0.3174,2.67,217.28,17.03,8.58,4.54,18.41,75.48,1.575,3.9
0.322,1.75,154.04,12.41,3.61,2.55,14.79,86.38,1.6375,0.6
0.3237,2.57,172.78,17.6,9.3,1.86,17.02,71.61,1.7,6.7
0.352,1.47,353.86,9.79,3.14,8.06,15.2,86.29,1.575,8.9
0.3782,1.76,476.94,12.48,4.37,3.77,13.56,78.67,1.45,0.4
0.3635,2.07,234.55,16.08,8.61,1.44,11.06,76.29,1.325,1.4
0.3595,2.18,395.04,15.85,7.07,-0.82,13.41,69.33,1.2,0
0.351,2.35,332.98,16.47,7.01,1.73,14.59,70.65,1.075,0
0.3442,3.2,233.15,23.4,12.72,-1.58,14.33,68.92,0.95,0
0.3379,3.58,336.43,23.64,12.67,2.22,17.86,63.23,0.825,0
0.3317,2.39,341.52,16.72,5.2,5.09,13.64,65.58,0.7,0
0.3264,1.98,345.27,15.11,6.28,1.46,10.31,69.45,0.8,0
0.3221,2.15,358.88,17.73,9.59,0.21,9.23,77.56,0.9,1.9
0.329,1.09,402.19,8.85,1.75,-0.03,8.94,85.53,1,9.4
0.3659,1.44,542.59,11.8,5.34,0.53,7.71,84.67,1.1,8.8
0.3885,1.81,425.25,14.14,5.05,1.88,10.16,82.76,1.2,3.7
0.3871,2.18,272.52,17.23,8.68,0.37,10.14,79.5,1.3,2.4
0.3797,1.23,465.67,9.11,2.19,3.83,10.06,80.5,1.4,1.4
0.3714,1.94,270.3,14.08,3.5,3.76,12.38,72.39,1.5,0
0.3593,2.95,259.77,20.96,8.95,2.03,14.69,72.76,1.5,0
0.3491,3.38,239.82,22.1,11.18,1.33,19.14,69.03,1.5,3.7
0.3547,3.28,330.81,22.44,11.44,2.36,14.79,70.28,1.5,0
0.3497,3.4,159.39,23.41,12.2,0.26,16.27,62.54,1.5,0
0.3393,4.28,315.6,26.98,13.95,4.71,19.43,54.27,1.5,0
0.3273,4.33,305.27,24.91,13.49,8.39,24.61,57.61,1.5,0
0.3123,4.52,288.47,25.02,13.19,10.21,26.68,50.13,1.5,0
0.2895,4.87,435.71,26.67,14.5,12.53,25.64,45.01,1.5,0
0.2601,4.57,448.65,25.09,12.33,13.7,25.64,50.96,1.4,0
0.2387,2,269.96,11.27,0.87,14.81,22.28,66.88,1.3,0
0.2283,4.13,318.79,22.76,10.51,14.14,26.09,58.88,1.2,0
0.201,4.62,446.51,26.09,14.02,13.56,25.22,51.06,1.1,0
0.1834,4.38,445.12,25.89,13.04,8.83,23.76,57.62,1,0
0.1724,2.42,433.39,17.16,5.81,5.2,13.15,65.83,0.9,0
0.1697,2.7,379.73,19.38,8.1,4.05,13.19,66.6,0.8,0
0.168,1.98,239.26,13.72,3.2,2.68,13.14,72.45,0.7,0
0.1671,2.09,262.07,13.59,4.43,6.78,18.93,68.29,0.6625,0
0.1658,2.24,298.62,14,3.47,7.6,20.01,74.63,0.625,4.4
0.1671,2.58,226.76,16.37,4.05,8.86,18.64,80.45,0.5875,0.3
0.168,1.36,367.9,8.33,1.14,9.58,17.85,83.11,0.55,3.9
0.1707,3.52,387.68,20.06,6.04,11.37,23.86,70.27,0.5125,1.8
0.196,1.27,262.53,7.38,0.37,14.37,18.89,85.06,0.475,19.2
0.3297,0.8,408.91,5.18,0.05,10.57,14.31,93.41,0.4375,9.7
0.3379,1.82,327.53,12.03,0.86,9.77,14.82,77.86,0.4,0.2
0.3303,1.45,148.98,9.44,2.03,7.73,15.74,84.52,0.5625,0
0.3239,3.9,177.98,24.02,9.45,6,21.21,73.82,0.725,0
0.3144,3.33,280.2,19.07,6.3,12.11,20.96,78.33,0.8875,2.3
0.3123,3.83,193.17,21.84,6.86,12.32,24.19,77.8,1.05,0
0.3049,1.42,300.43,8.25,1.2,13.42,20.27,85.83,1.2125,14.7
0.3692,0.96,361.35,5.56,0.16,15.31,20,93.61,1.375,59.7
0.4182,2.69,224.25,15.45,5.13,13.26,22.04,79.36,1.5375,0.6
0.3665,2.08,293.28,11.64,3.71,12.98,24.77,85.49,1.7,2.4
0.3581,2.63,389.49,14.98,2.48,14.21,22.62,85.72,1.675,0.3
0.3494,2.54,191.28,14.56,3.94,14.15,22.31,89.26,1.65,1.9
0.3421,3.76,218.21,20.67,7.53,13.78,26.69,80.3,1.625,0
0.3295,5.12,252.42,27.65,13.7,13.77,27.91,69.78,1.6,0
0.3174,4.93,231.58,26.86,13.5,12.53,27.01,72.26,1.575,0
0.3083,4.09,228.8,22.19,7.6,15.02,26.67,74.97,1.55,0
0.3002,4.23,269.58,24.72,9.94,11.81,22.94,77.63,1.525,0
0.2936,4.89,248.74,29.21,13.31,9.35,21.62,64.98,1.5,0
0.2878,4.12,154.42,24.26,8.29,8.43,22.42,67.48,1.4125,0
0.2836,3.03,190.95,17.31,3.75,13.07,21.89,72.25,1.325,0
0.299,2.11,139.96,12.32,1.2,14.5,21.89,86.22,1.2375,21.6
0.347,1.98,283.81,11.89,1.93,13.83,19.81,91.03,1.15,11.2
0.3367,2.35,293,14.09,3.93,12.68,20.69,85.93,1.0625,6.4
0.3646,2.51,181.49,15.31,4,11.1,19.18,87.6,0.975,14.3
0.3674,3.39,160.36,20.38,7.14,7.92,21.31,80.29,0.8875,10.5
